Tester: Jason
Test Date: 2016-03-21 14:32
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,愛羞辱人的,Negative,correct
2,1,不近人情,Negative,miss
3,1,奢侈,Negative,correct
4,1,無聊的,Negative,correct
5,1,沈悶,Negative,correct
6,1,無理取鬧,Negative,correct
7,1,控制一切,Negative,correct
8,1,不道德,Negative,correct
9,1,新鮮的,Neutral,pass
10,1,難相處的,Negative,correct
11,1,佔有慾,Negative,correct
12,1,不知感恩,Negative,correct
13,1,巨大,Neutral,pass
14,1,使人不愉快的,Negative,correct
15,1,騙子,Negative,correct
16,1,指導,Neutral,pass
17,1,平滑,Neutral,pass
18,1,固體的,Neutral,pass
19,1,粗鄙,Negative,correct
20,1,圓形的,Neutral,pass
21,1,佔有慾強,Negative,correct
22,1,缺乏想像力,Negative,correct
23,1,不事生產的,Negative,miss
24,1,上漲,Neutral,pass
25,1,潑辣,Negative,correct
26,1,累贅的,Negative,correct
27,1,令人不快的,Negative,correct
28,1,勢利眼,Negative,correct
29,1,冥頑不靈,Negative,correct
30,1,令人討厭的,Negative,correct
31,1,自負,Negative,correct
32,1,恐懼的,Negative,correct
33,1,自我膨脹,Negative,correct
34,1,溼冷潮溼,Neutral,pass
35,1,實驗性,Neutral,pass
36,1,宗教的,Neutral,pass
37,1,有系統的,Negative,correct
38,1,典型,Neutral,pass
39,1,虛偽,Negative,correct
40,1,古早的,Neutral,pass
41,1,過度自信,Negative,correct
42,1,不社會化,Negative,correct
43,1,權威,Negative,correct
44,1,高科技,Neutral,pass
45,1,激進,Negative,correct
46,1,愚蠢,Negative,correct
47,1,攻擊性的,Negative,correct
48,1,虛假,Negative,correct
49,1,過動,Negative,correct
50,1,大嘴巴,Negative,correct
51,1,驚喜,Neutral,pass
52,1,暴躁,Negative,correct
53,1,順從,Negative,correct
54,1,忙碌,Neutral,pass
55,1,停留,Neutral,pass
56,1,生鏽的,Neutral,pass
57,1,不入流的,Negative,correct
58,1,孤單,Negative,correct
59,1,魯莽,Negative,correct
60,1,喧鬧的,Negative,correct
61,1,膽大妄為,Negative,correct
62,1,清脆,Neutral,pass
63,1,物理的,Neutral,pass
64,1,不負責任,Negative,correct
65,1,沒安全感的,Negative,miss
66,1,水平,Neutral,pass
67,1,主題,Neutral,pass
68,1,退休,Neutral,pass
69,1,辱罵的,Negative,correct
70,1,易怒的,Negative,correct
71,1,無吸引力的,Negative,correct
72,1,堅固,Neutral,pass
73,1,愛責備的,Negative,correct
74,1,連續的,Neutral,pass
75,1,鮮艷的,Neutral,pass
76,2,沒文化的,Negative,correct
77,2,悲傷的,Negative,correct
78,2,沒效率的,Negative,correct
79,2,守舊,Negative,correct
80,2,愛作秀,Negative,correct
81,2,充滿水分的,Neutral,pass
82,2,太過柔順,Negative,correct
83,2,平坦的,Neutral,pass
84,2,孩子氣,Negative,correct
85,2,柔軟,Neutral,pass
86,2,持續的,Neutral,pass
87,2,下流,Negative,correct
88,2,缺乏智慧,Negative,correct
89,2,不上不下的,Negative,correct
90,2,視覺上的,Neutral,pass
91,2,恍恍惚惚,Negative,correct
92,2,節奏感,Neutral,pass
93,2,不整潔,Negative,correct
94,2,鮮明的,Neutral,pass
95,2,充滿的,Neutral,pass
96,2,純粹的,Neutral,pass
97,2,方向感,Neutral,pass
98,2,囉唆,Negative,correct
99,2,過氣,Negative,correct
100,2,沒自信,Negative,correct
101,2,無法適應環境,Negative,correct
102,2,擾人,Negative,correct
103,2,金屬感,Neutral,pass
104,2,不切實際,Negative,correct
105,2,毛絨絨的,Neutral,pass
106,2,不容易滿足,Negative,correct
107,2,無能,Negative,correct
108,2,無精打采的,Negative,correct
109,2,多疑,Negative,correct
110,2,嫉妒的,Negative,correct
111,2,誇張的,Negative,correct
112,2,自以為是,Negative,correct
113,2,政治,Neutral,pass
114,2,吝嗇,Negative,correct
115,2,明亮,Neutral,pass
116,2,隱私,Neutral,pass
117,2,沒水準的,Negative,correct
118,2,廣大的,Neutral,pass
119,2,太過敏感,Negative,correct
120,2,容易受外界影響,Negative,correct
121,2,無助的,Negative,correct
122,2,鬆懈的,Negative,correct
123,2,觀察不入微,Negative,correct
124,2,熟悉,Neutral,pass
125,2,公開,Neutral,pass
126,2,凌亂的,Negative,correct
127,2,倔強,Negative,correct
128,2,鬱鬱寡歡,Negative,correct
129,2,善變的,Negative,correct
130,2,見不得人好,Negative,correct
131,2,灼熱,Neutral,pass
132,2,只想到自己,Negative,correct
133,2,乾燥,Neutral,pass
134,2,搖擺,Neutral,pass
135,2,不易被鼓舞,Negative,correct
136,2,向左,Neutral,pass
137,2,沒禮貌,Negative,correct
138,2,容易感到厭惡,Negative,correct
139,2,脆弱,Negative,correct
140,2,迅速,Neutral,pass
141,2,不浪漫,Negative,correct
142,2,不成熟,Negative,correct
143,2,懷有惡意的,Negative,correct
144,2,硬邦邦的,Neutral,pass
145,2,風化的,Neutral,pass
146,2,呆,Negative,correct
147,2,不信任他人,Negative,correct
148,2,神經質,Negative,correct
149,2,不勤勞,Negative,correct
150,2,杞人憂天,Negative,correct
