Tester: Ping
Test Date: 2016-06-14 11:58
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,明亮,Neutral,pass
2,1,懷有惡意的,Negative,correct
3,1,政治,Neutral,pass
4,1,無情無義,Negative,correct
5,1,頻繁,Neutral,pass
6,1,向左,Neutral,pass
7,1,累贅的,Negative,correct
8,1,傲慢,Negative,correct
9,1,古怪的,Negative,correct
10,1,膽大妄為,Negative,correct
11,1,跋扈,Negative,correct
12,1,巨大,Neutral,pass
13,1,頑劣,Negative,correct
14,1,吝嗇,Negative,correct
15,1,膚淺,Negative,correct
16,1,不懂人情世故,Negative,correct
17,1,奢侈,Negative,correct
18,1,退休,Neutral,pass
19,1,心胸狹小,Negative,correct
20,1,充滿的,Neutral,pass
21,1,虛假,Negative,correct
22,1,化學的,Neutral,pass
23,1,停留,Neutral,pass
24,1,冥頑不靈,Negative,correct
25,1,平坦的,Neutral,pass
26,1,涼爽,Neutral,pass
27,1,草率,Negative,correct
28,1,指導,Neutral,pass
29,1,佔有慾強,Negative,correct
30,1,不可靠,Negative,correct
31,1,宗教的,Neutral,pass
32,1,不名譽的,Negative,correct
33,1,無法寬恕,Negative,correct
34,1,刻薄,Negative,correct
35,1,金屬感,Neutral,pass
36,1,魯莽,Negative,correct
37,1,柔軟,Neutral,pass
38,1,平滑,Neutral,pass
39,1,典型,Neutral,pass
40,1,不切實際,Negative,correct
41,1,物理的,Neutral,pass
42,1,正式的,Neutral,pass
43,1,粗心,Negative,correct
44,1,不信任他人,Negative,correct
45,1,叛逆,Negative,correct
46,1,忙碌,Neutral,pass
47,1,嫉妒的,Negative,correct
48,1,皮製的,Neutral,pass
49,1,心機的,Negative,correct
50,1,平庸,Negative,correct
51,1,控制一切,Negative,correct
52,1,過動,Negative,correct
53,1,缺乏智慧,Negative,correct
54,1,自大的,Negative,correct
55,1,不入流的,Negative,correct
56,1,狡詐,Negative,correct
57,1,俱有控制與的,Negative,correct
58,1,面目可憎,Negative,correct
59,1,喜愛批評,Negative,correct
60,1,自私,Negative,correct
61,1,令人不快的,Negative,correct
62,1,沒水準的,Negative,correct
63,1,沒邏輯的,Negative,correct
64,1,激進,Negative,correct
65,1,前傾,Neutral,pass
66,1,使人不愉快的,Negative,correct
67,1,充滿水分的,Neutral,pass
68,1,勢利眼,Negative,correct
69,1,憤世忌俗,Negative,correct
70,1,憨厚,Negative,correct
71,1,潑辣,Negative,correct
72,1,過氣,Negative,correct
73,1,改變,Neutral,pass
74,1,不整潔,Negative,correct
75,1,圓形的,Neutral,pass
76,2,上漲,Neutral,pass
77,2,沮喪,Negative,correct
78,2,鬱卒,Negative,correct
79,2,心煩氣躁,Negative,correct
80,2,憂鬱的,Negative,correct
81,2,寂寞,Negative,correct
82,2,守舊,Negative,correct
83,2,無法適應環境,Negative,correct
84,2,害羞,Negative,correct
85,2,脆弱,Negative,correct
86,2,不誠懇,Negative,correct
87,2,乾燥,Neutral,pass
88,2,持續的,Neutral,pass
89,2,實驗性,Neutral,pass
90,2,複雜,Neutral,pass
91,2,多疑,Negative,correct
92,2,新鮮的,Neutral,pass
93,2,自得自滿,Negative,correct
94,2,愛爭辯,Negative,correct
95,2,頑固,Negative,correct
96,2,無精打采的,Negative,correct
97,2,沒有目標的,Negative,correct
98,2,禮數不周,Negative,correct
99,2,高度緊張的,Negative,correct
100,2,冷漠,Negative,correct
101,2,懶散的,Negative,correct
102,2,沈默,Negative,correct
103,2,無趣的,Negative,correct
104,2,風化的,Neutral,pass
105,2,生鏽的,Neutral,pass
106,2,優柔寡斷,Negative,correct
107,2,不有趣的,Negative,correct
108,2,不擅交際,Negative,correct
109,2,清脆,Neutral,pass
110,2,異常擔心的,Negative,correct
111,2,怠惰,Negative,correct
112,2,古早的,Neutral,pass
113,2,疏忽的,Negative,correct
114,2,溼冷潮溼,Neutral,pass
115,2,太過柔順,Negative,correct
116,2,鮮明的,Neutral,pass
117,2,不苟言笑,Negative,correct
118,2,不友善,Negative,correct
119,2,沒安全感的,Negative,correct
120,2,無助的,Negative,correct
121,2,水平,Neutral,pass
122,2,不浪漫,Negative,correct
123,2,反光的,Neutral,pass
124,2,適應不良,Negative,correct
125,2,過度自信,Negative,correct
126,2,卷曲的,Neutral,pass
127,2,驕傲,Negative,correct
128,2,缺乏感情,Negative,correct
129,2,自我中心,Negative,correct
130,2,迅速,Neutral,pass
131,2,隱私,Neutral,pass
132,2,廣大的,Neutral,pass
133,2,軟弱無力的,Negative,correct
134,2,過度謹慎,Negative,correct
135,2,連續的,Neutral,pass
136,2,熟悉,Neutral,pass
137,2,緊繃,Negative,correct
138,2,自以為,Negative,correct
139,2,不隨和,Negative,correct
140,2,不知感恩,Negative,correct
141,2,堅固,Neutral,pass
142,2,煙霧彌漫,Neutral,pass
143,2,緊張,Negative,correct
144,2,不易被鼓舞,Negative,correct
145,2,鬱鬱寡歡,Negative,correct
146,2,灼熱,Neutral,pass
147,2,方向感,Neutral,pass
148,2,主題,Neutral,pass
149,2,雙面人,Negative,correct
150,2,消沈,Negative,correct
