Tester: mary1050616
Test Date: 2016-06-16 17:23
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,激進,Negative,miss
2,1,不成熟,Negative,miss
3,1,改變,Neutral,pass
4,1,自負,Negative,miss
5,1,害羞,Negative,miss
6,1,涼爽,Neutral,pass
7,1,不和藹,Negative,miss
8,1,自我中心,Negative,miss
9,1,難以捉摸,Negative,correct
10,1,守舊,Negative,miss
11,1,煙霧彌漫,Neutral,pass
12,1,驕傲,Negative,correct
13,1,不懂人情世故,Negative,correct
14,1,缺乏好奇心,Negative,miss
15,1,公開,Neutral,pass
16,1,宗教的,Neutral,pass
17,1,反社會的,Negative,miss
18,1,禮數不周,Negative,miss
19,1,適應不良,Negative,miss
20,1,退休,Neutral,pass
21,1,權威,Negative,miss
22,1,平坦的,Neutral,pass
23,1,不平靜的,Negative,miss
24,1,指導,Neutral,pass
25,1,圓形的,Neutral,pass
26,1,勢利眼,Negative,miss
27,1,善變的,Negative,miss
28,1,前傾,Neutral,pass
29,1,不友善,Negative,miss
30,1,自我意識,Negative,miss
31,1,無吸引力的,Negative,miss
32,1,向右,Neutral,pass
33,1,滑稽,Negative,miss
34,1,不講道理,Negative,miss
35,1,喧鬧的,Negative,miss
36,1,容易受騙,Negative,miss
37,1,頻繁,Neutral,pass
38,1,連續的,Neutral,pass
39,1,容易受外界影響,Negative,miss
40,1,風化的,Neutral,pass
41,1,見不得人好,Negative,miss
42,1,令人討厭的,Negative,miss
43,1,自私,Negative,miss
44,1,不易妥協的,Negative,correct
45,1,多嘴多話,Negative,miss
46,1,滑頭,Negative,miss
47,1,靠不住,Negative,miss
48,1,純粹的,Neutral,pass
49,1,忙碌,Neutral,pass
50,1,古早的,Neutral,pass
51,1,典型,Neutral,pass
52,1,廣大的,Neutral,pass
53,1,充滿的,Neutral,pass
54,1,佔有慾,Negative,miss
55,1,挑替,Negative,miss
56,1,政治,Neutral,pass
57,1,明亮,Neutral,pass
58,1,衝動,Negative,miss
59,1,憨厚,Negative,miss
60,1,過度謹慎,Negative,miss
61,1,不知感恩,Negative,miss
62,1,沒知識的,Negative,miss
63,1,愛責備的,Negative,miss
64,1,太過柔順,Negative,correct
65,1,自以為是,Negative,correct
66,1,毛絨絨的,Neutral,pass
67,1,擾人,Negative,miss
68,1,沒有創意,Negative,miss
69,1,灼熱,Neutral,pass
70,1,主題,Neutral,pass
71,1,難相處的,Negative,miss
72,1,不隨和,Negative,miss
73,1,傲慢,Negative,correct
74,1,愛爭辯,Negative,miss
75,1,多嘴,Negative,miss
76,2,水平,Neutral,pass
77,2,不好學,Negative,miss
78,2,極端刻薄,Negative,miss
79,2,巨大,Neutral,pass
80,2,固體的,Neutral,pass
81,2,物理的,Neutral,pass
82,2,粗暴,Negative,correct
83,2,鬆懈的,Negative,correct
84,2,疑神疑鬼,Negative,correct
85,2,停留,Neutral,pass
86,2,辱罵的,Negative,correct
87,2,孤單,Negative,correct
88,2,不名譽的,Negative,correct
89,2,壓抑,Negative,miss
90,2,乾燥,Neutral,pass
91,2,忿恨不平,Negative,miss
92,2,不負責任,Negative,miss
93,2,攻擊性的,Negative,correct
94,2,脆弱,Negative,correct
95,2,怕生,Negative,miss
96,2,迅速,Neutral,pass
97,2,不上不下的,Negative,miss
98,2,鬱鬱寡歡,Negative,miss
99,2,熟悉,Neutral,pass
100,2,視覺上的,Neutral,pass
101,2,向左,Neutral,pass
102,2,有勇無謀,Negative,miss
103,2,下流,Negative,correct
104,2,化學的,Neutral,pass
105,2,沒有目標的,Negative,miss
106,2,卷曲的,Neutral,pass
107,2,無禮,Negative,miss
108,2,恐懼的,Negative,miss
109,2,吝嗇,Negative,correct
110,2,不誠實,Negative,miss
111,2,奢侈,Negative,correct
112,2,邋遢,Negative,miss
113,2,心情不穩定的,Negative,miss
114,2,節奏感,Neutral,pass
115,2,放蕩不羈,Negative,correct
116,2,凌亂的,Negative,correct
117,2,吹毛求疵,Negative,miss
118,2,皮製的,Neutral,incorrect
119,2,沒安全感的,Negative,correct
120,2,漫無目的,Negative,correct
121,2,頑固,Negative,miss
122,2,複雜,Neutral,pass
123,2,薄情,Negative,correct
124,2,膽大妄為,Negative,miss
125,2,畏首畏尾,Negative,miss
126,2,不可靠,Negative,correct
127,2,拙劣,Negative,miss
128,2,消沈,Negative,correct
129,2,大嘴巴,Negative,correct
130,2,反光的,Neutral,pass
131,2,殘忍,Negative,correct
132,2,不安,Negative,miss
133,2,上漲,Neutral,pass
134,2,軟弱無力的,Negative,correct
135,2,持續的,Neutral,pass
136,2,清脆,Neutral,pass
137,2,嚴肅,Negative,miss
138,2,無精打采的,Negative,correct
139,2,逞兇鬥狠,Negative,miss
140,2,不敢冒險,Negative,miss
141,2,憤世忌俗,Negative,correct
142,2,懦弱,Negative,correct
143,2,實驗性,Neutral,pass
144,2,金屬感,Neutral,pass
145,2,新鮮的,Neutral,pass
146,2,高科技,Neutral,pass
147,2,愛吹牛,Negative,miss
148,2,搖擺,Neutral,pass
149,2,緊繃,Negative,correct
150,2,聲光,Neutral,pass
