Tester: 1050812Chen
Test Date: 2016-08-12 12:44
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,懷有惡意的,Negative,miss
2,1,連續的,Neutral,pass
3,1,膚淺,Negative,correct
4,1,過動,Negative,miss
5,1,毛絨絨的,Neutral,pass
6,1,不公平,Negative,miss
7,1,累贅的,Negative,miss
8,1,沒有目標的,Negative,correct
9,1,軟弱無力的,Negative,miss
10,1,溼冷潮溼,Neutral,incorrect
11,1,反光的,Neutral,incorrect
12,1,擾人,Negative,correct
13,1,不切實際,Negative,miss
14,1,狡詐,Negative,correct
15,1,煙霧彌漫,Neutral,incorrect
16,1,沒幽默感,Negative,correct
17,1,現在的,Neutral,pass
18,1,新鮮的,Neutral,pass
19,1,化學的,Neutral,incorrect
20,1,要死不活,Negative,correct
21,1,過氣,Negative,correct
22,1,控制一切,Negative,correct
23,1,放蕩不羈,Negative,correct
24,1,俗氣,Negative,correct
25,1,太過柔順,Negative,correct
26,1,無法寬恕,Negative,correct
27,1,停留,Neutral,pass
28,1,佔有慾,Negative,correct
29,1,草率,Negative,miss
30,1,惡毒,Negative,correct
31,1,不上不下的,Negative,miss
32,1,孤單,Negative,correct
33,1,憨厚,Negative,correct
34,1,固體的,Neutral,pass
35,1,驚喜,Neutral,pass
36,1,禮數不周,Negative,correct
37,1,騙子,Negative,correct
38,1,不勤勞,Negative,correct
39,1,自得自滿,Negative,miss
40,1,不名譽的,Negative,correct
41,1,不知感恩,Negative,miss
42,1,不易被鼓舞,Negative,correct
43,1,指導,Neutral,pass
44,1,殘忍,Negative,correct
45,1,不浪漫,Negative,miss
46,1,不進取,Negative,miss
47,1,有勇無謀,Negative,correct
48,1,圓形的,Neutral,pass
49,1,宗教的,Neutral,pass
50,1,充滿的,Neutral,pass
51,1,主題,Neutral,pass
52,1,沒心肝的,Negative,miss
53,1,沒效率的,Negative,correct
54,1,明亮,Neutral,pass
55,1,過度自信,Negative,correct
56,1,虛假,Negative,miss
57,1,生鏽的,Neutral,incorrect
58,1,寂寞,Negative,correct
59,1,輕率,Negative,correct
60,1,公開,Neutral,pass
61,1,大嘴巴,Negative,miss
62,1,反社會的,Negative,correct
63,1,搖擺,Neutral,pass
64,1,多疑,Negative,miss
65,1,沒有創意,Negative,correct
66,1,清脆,Neutral,pass
67,1,硬邦邦的,Neutral,pass
68,1,適應不良,Negative,correct
69,1,愛吹牛,Negative,correct
70,1,實驗性,Neutral,pass
71,1,凌亂的,Negative,miss
72,1,政治,Neutral,pass
73,1,沈默,Negative,miss
74,1,金屬感,Neutral,pass
75,1,冷漠,Negative,correct
76,2,可預測的,Neutral,pass
77,2,堅固,Neutral,pass
78,2,水平,Neutral,pass
79,2,脆弱,Negative,correct
80,2,服從,Negative,correct
81,2,節奏感,Neutral,pass
82,2,容易受外界影響,Negative,correct
83,2,平滑,Neutral,pass
84,2,遲鈍,Negative,correct
85,2,鮮艷的,Neutral,pass
86,2,畏首畏尾,Negative,correct
87,2,神經質,Negative,correct
88,2,沒安全感的,Negative,correct
89,2,退休,Neutral,pass
90,2,涼爽,Neutral,pass
91,2,恍恍惚惚,Negative,correct
92,2,怕生,Negative,correct
93,2,消極,Negative,correct
94,2,衰,Negative,miss
95,2,叛逆,Negative,correct
96,2,頑固,Negative,miss
97,2,忙碌,Neutral,pass
98,2,正式的,Neutral,pass
99,2,典型,Neutral,pass
100,2,囉唆,Negative,correct
101,2,冰冷,Negative,correct
102,2,倔強,Negative,correct
103,2,不安,Negative,miss
104,2,強硬,Negative,correct
105,2,吹毛求疵,Negative,miss
106,2,過度謹慎,Negative,miss
107,2,猶豫不決,Negative,correct
108,2,難以捉摸,Negative,correct
109,2,灼熱,Neutral,pass
110,2,冥頑不靈,Negative,correct
111,2,容易受騙,Negative,correct
112,2,巨大,Neutral,pass
113,2,容易退縮,Negative,miss
114,2,偏心,Negative,correct
115,2,憂鬱的,Negative,miss
116,2,熟悉,Neutral,pass
117,2,迅速,Neutral,pass
118,2,廣大的,Neutral,pass
119,2,嚴厲,Negative,correct
120,2,無法適應環境,Negative,correct
121,2,緊張,Negative,miss
122,2,情緒化,Negative,correct
123,2,聲光,Neutral,pass
124,2,柔軟,Neutral,pass
125,2,不易妥協的,Negative,correct
126,2,前傾,Neutral,pass
127,2,皮製的,Neutral,pass
128,2,持續的,Neutral,pass
129,2,多管閒事,Negative,correct
130,2,鮮明的,Neutral,pass
131,2,物理的,Neutral,pass
132,2,不講道理,Negative,miss
133,2,純粹的,Neutral,pass
134,2,忐忑,Negative,correct
135,2,懦弱,Negative,correct
136,2,放不開,Negative,miss
137,2,不擅交際,Negative,miss
138,2,壓抑,Negative,miss
139,2,無精打采的,Negative,miss
140,2,諷刺的,Negative,miss
141,2,吝嗇,Negative,correct
142,2,衝動,Negative,miss
143,2,善變的,Negative,miss
144,2,沮喪,Negative,miss
145,2,隱私,Neutral,pass
146,2,無法下決定的,Negative,correct
147,2,鬱卒,Negative,correct
148,2,不信任他人,Negative,correct
149,2,悲傷的,Negative,correct
150,2,不爽快的,Negative,miss
