Tester: Yu
Test Date: 2016-09-01 17:04
Test Mode: mood distingulish
Test Result:
No.,Stage,Word,Type,Response
1,1,禮數不周,Negative,miss
2,1,壓抑,Negative,correct
3,1,健忘,Negative,correct
4,1,鮮明的,Neutral,pass
5,1,觀察不入微,Negative,correct
6,1,沒水準的,Negative,correct
7,1,明亮,Neutral,pass
8,1,容易受騙,Negative,correct
9,1,草率,Negative,miss
10,1,向左,Neutral,incorrect
11,1,恐懼的,Negative,miss
12,1,巨大,Neutral,pass
13,1,憨厚,Negative,correct
14,1,膽小,Negative,miss
15,1,過動,Negative,miss
16,1,不聰明的,Negative,correct
17,1,溫吞,Negative,miss
18,1,上漲,Neutral,incorrect
19,1,搖擺,Neutral,incorrect
20,1,不進取,Negative,miss
21,1,累贅的,Negative,correct
22,1,可預測的,Neutral,pass
23,1,陰鬱,Negative,correct
24,1,失神的,Negative,correct
25,1,毛絨絨的,Neutral,pass
26,1,嚴肅,Negative,miss
27,1,面目可憎,Negative,correct
28,1,太過柔順,Negative,correct
29,1,不滿,Negative,miss
30,1,恍恍惚惚,Negative,correct
31,1,邋遢,Negative,correct
32,1,絕情的,Negative,correct
33,1,放不開,Negative,miss
34,1,自得自滿,Negative,correct
35,1,不上不下的,Negative,correct
36,1,熟悉,Neutral,pass
37,1,鮮艷的,Neutral,pass
38,1,指導,Neutral,pass
39,1,視覺上的,Neutral,pass
40,1,清脆,Neutral,pass
41,1,不勤勞,Negative,correct
42,1,宗教的,Neutral,pass
43,1,懦弱,Negative,correct
44,1,隱私,Neutral,pass
45,1,不鎮靜的,Negative,correct
46,1,沈默,Negative,correct
47,1,聲光,Neutral,pass
48,1,孩子氣,Negative,correct
49,1,沒安全感的,Negative,correct
50,1,金屬感,Neutral,pass
51,1,不容易滿足,Negative,miss
52,1,害羞,Negative,correct
53,1,有系統的,Negative,correct
54,1,令人不快的,Negative,correct
55,1,迅速,Neutral,pass
56,1,停留,Neutral,pass
57,1,膚淺,Negative,correct
58,1,持續的,Neutral,pass
59,1,怕生,Negative,correct
60,1,複雜,Neutral,pass
61,1,服從,Negative,correct
62,1,多嘴多話,Negative,correct
63,1,自我意識,Negative,correct
64,1,實驗性,Neutral,pass
65,1,高科技,Neutral,pass
66,1,擾人,Negative,miss
67,1,卷曲的,Neutral,pass
68,1,疏忽的,Negative,correct
69,1,沒有目標的,Negative,correct
70,1,不敢冒險,Negative,correct
71,1,溼冷潮溼,Neutral,incorrect
72,1,俗氣,Negative,correct
73,1,很傳統,Negative,correct
74,1,畏首畏尾,Negative,correct
75,1,沒邏輯的,Negative,correct
76,2,不光明正大,Negative,correct
77,2,柔軟,Neutral,pass
78,2,愛抱怨,Negative,correct
79,2,堅固,Neutral,pass
80,2,消沈,Negative,correct
81,2,硬邦邦的,Neutral,pass
82,2,苛求,Negative,correct
83,2,軟弱無力的,Negative,correct
84,2,極端刻薄,Negative,correct
85,2,杞人憂天,Negative,correct
86,2,缺乏感情,Negative,correct
87,2,乾燥,Neutral,pass
88,2,憂鬱的,Negative,correct
89,2,粗心,Negative,correct
90,2,冒犯的,Negative,correct
91,2,正式的,Neutral,pass
92,2,不講道理,Negative,correct
93,2,吹毛求疵,Negative,correct
94,2,政治,Neutral,pass
95,2,灼熱,Neutral,incorrect
96,2,化學的,Neutral,pass
97,2,憤世忌俗,Negative,correct
98,2,喧鬧的,Negative,correct
99,2,強硬,Negative,correct
100,2,疑心病,Negative,correct
101,2,心胸狹小,Negative,correct
102,2,純粹的,Neutral,pass
103,2,不事生產的,Negative,correct
104,2,只想到自己,Negative,correct
105,2,風化的,Neutral,pass
106,2,潑辣,Negative,correct
107,2,放蕩不羈,Negative,correct
108,2,節奏感,Neutral,pass
109,2,悲觀,Negative,correct
110,2,圓形的,Neutral,pass
111,2,平滑,Neutral,pass
112,2,狡詐,Negative,correct
113,2,不信任他人,Negative,correct
114,2,佔有慾強,Negative,correct
115,2,固體的,Neutral,pass
116,2,涼爽,Neutral,pass
117,2,急躁,Negative,correct
118,2,卑鄙,Negative,correct
119,2,充滿的,Neutral,pass
120,2,自以為,Negative,correct
121,2,不好學,Negative,correct
122,2,倔強,Negative,correct
123,2,專橫,Negative,correct
124,2,善變的,Negative,correct
125,2,俱有控制與的,Negative,correct
126,2,傲慢,Negative,correct
127,2,生氣,Negative,correct
128,2,典型,Neutral,pass
129,2,煙霧彌漫,Neutral,pass
130,2,攻擊性的,Negative,correct
131,2,辱罵的,Negative,correct
132,2,向右,Neutral,pass
133,2,誇張的,Negative,correct
134,2,不知感恩,Negative,correct
135,2,反光的,Neutral,pass
136,2,無情無義,Negative,correct
137,2,方向感,Neutral,pass
138,2,煩人的,Negative,correct
139,2,挑替,Negative,correct
140,2,驕傲,Negative,correct
141,2,衰,Negative,correct
142,2,遲鈍,Negative,correct
143,2,自我膨脹,Negative,correct
144,2,皮製的,Neutral,pass
145,2,吝嗇,Negative,correct
146,2,古怪的,Negative,correct
147,2,充滿水分的,Neutral,pass
148,2,下流,Negative,correct
149,2,連續的,Neutral,pass
150,2,物理的,Neutral,pass
