Tester: sin
Test Date: 2015-08-18 20:43
Test Mode: sharp and round
Test Type: Single1
Test Round: 90
Test Result:
No.,Side,Answer,Response Time
1,left,c,0.879
2,left,c,0.764
3,right,c,0.511
4,left,c,0.92
5,left,c,0.664
6,right,c,0.839
7,left,c,0.672
8,right,c,0.591
9,left,c,0.864
10,left,c,0.695
11,right,c,0.862
12,left,c,0.697
13,left,c,0.775
14,right,c,0.655
15,left,c,0.504
16,right,c,0.732
17,left,c,0.584
18,left,c,0.608
19,right,c,0.727
20,left,w,1.023
21,right,c,1.852
22,left,c,0.778
23,right,c,0.624
24,right,c,0.776
25,right,c,0.759
26,right,c,0.798
27,left,c,0.607
28,right,c,0.634
29,left,c,0.687
30,right,c,1.029
31,left,c,0.633
32,right,c,1.014
33,right,c,0.176
34,right,c,0.161
35,right,w,0.168
36,right,c,0.155
37,right,w,0.168
38,right,w,0.166
39,right,w,0.159
40,right,w,0.167
41,right,c,0.167
42,right,c,0.688
43,left,w,0.711
44,left,c,0.967
45,right,c,0.807
46,left,c,0.776
47,right,c,0.759
48,left,c,0.696
49,left,c,1.671
50,left,c,0.719
51,left,c,0.711
52,left,c,0.758
53,right,c,0.641
54,right,c,0.862
55,left,c,0.649
56,right,c,0.71
57,left,c,0.447
58,left,c,0.656
59,right,c,0.591
60,left,c,0.446
61,right,c,1.109
62,right,c,0.839
63,left,c,1.113
64,left,c,0.671
65,right,c,0.831
66,right,c,0.712
67,left,c,0.584
68,left,c,0.696
69,left,c,0.734
70,right,c,0.592
71,right,w,0.696
72,left,c,1.094
73,right,c,0.888
74,left,w,0.695
75,left,c,0.725
76,left,c,0.841
77,left,c,0.599
78,right,c,0.735
79,right,c,0.631
80,right,c,0.832
81,right,c,1.143
82,right,c,0.647
83,right,c,0.623
84,right,c,0.718
85,right,c,0.711
86,right,c,0.568
87,right,c,0.551
88,left,c,0.663
89,right,c,0.568
90,right,c,0.624
