Tester: atan
Test Date: 2015-08-18 20:49
Test Mode: sharp and round
Test Type: Complex
Test Round: 60
Test Result:
No.,Side,Answer,Response Time
1,left,c,1.257
2,right,c,0.869
3,right,w,1.325
4,left,c,0.556
5,left,w,0.967
6,left,c,0.961
7,left,c,1.158
8,right,c,0.974
9,left,c,0.745
10,left,c,0.607
11,right,c,0.695
12,right,c,0.959
13,right,c,0.656
14,left,c,0.688
15,left,c,1.08
16,left,c,0.905
17,right,c,0.525
18,left,c,0.791
19,right,c,7.534
20,right,c,0.696
21,right,c,1.126
22,right,c,0.392
23,right,c,0.527
24,right,w,0.464
25,left,c,1.237
26,right,c,0.67
27,left,c,0.793
28,left,c,1.12
29,left,c,0.87
30,left,c,0.991
31,left,c,0.899
32,left,c,1.198
33,right,c,0.768
34,left,c,0.551
35,left,c,0.783
36,right,c,0.664
37,right,c,0.832
38,left,c,1.109
39,left,c,0.728
40,left,c,0.624
41,right,w,0.905
42,right,c,0.571
43,right,c,2.479
44,right,c,1.144
45,right,c,1.873
46,right,w,1.038
47,right,c,0.877
48,left,c,0.696
49,left,c,0.934
50,left,c,0.905
51,right,c,0.767
52,right,c,0.856
53,left,c,0.727
54,right,c,0.999
55,right,c,0.535
56,left,c,0.488
57,right,c,0.471
58,left,c,0.32
59,right,c,0.224
60,left,w,0.184
