Tester: sss
Test Date: 2015-11-01 17:55
Test Mode: sharp and round
Test Type: Complex
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,0.959
2,right,c,0.147
3,right,w,0.135
4,right,w,0.141
5,right,c,0.13
6,right,w,0.146
7,right,c,0.144
8,right,c,0.14
9,right,c,0.128
10,right,w,0.143
11,right,c,0.141
12,right,w,0.143
13,right,c,0.151
14,right,w,0.145
15,right,w,0.14
16,right,c,0.159
17,right,w,0.152
18,right,w,0.142
19,right,w,0.14
20,right,c,0.141
21,right,c,0.153
22,right,w,0.156
23,right,c,0.153
24,right,w,0.152
25,right,w,0.151
26,right,w,0.141
27,right,w,0.159
28,right,w,0.157
29,right,w,0.144
30,right,c,0.156
31,right,c,0.9
32,left,c,0.631
33,right,c,0.688
34,right,w,0.511
35,right,c,0.143
36,right,c,0.151
37,right,w,0.152
38,right,w,0.147
39,right,w,0.145
40,right,w,0.151
41,right,w,0.14
42,right,w,0.126
43,right,w,0.153
44,right,c,0.134
45,right,w,0.134
46,right,c,0.157
47,right,w,0.139
48,right,w,0.15
49,right,w,0.151
50,right,c,0.149
51,right,c,0.144
52,right,w,0.152
53,right,c,0.15
54,right,w,0.144
55,right,c,0.146
56,right,c,0.153
57,right,c,0.151
58,right,c,0.144
59,right,c,0.144
60,right,w,0.15
61,left,c,0.662
62,right,c,0.784
63,right,c,0.888
64,right,w,0.168
65,right,w,0.148
66,right,c,0.169
67,right,w,0.178
68,right,c,0.157
69,right,c,0.15
70,left,w,0.055
71,right,c,0.176
72,left,c,0.029
73,left,w,0.145
74,right,c,0.007
75,left,w,0.15
76,right,w,0.021
77,left,c,0.128
78,right,c,0.039
79,left,c,0.121
80,right,w,0.057
81,left,c,0.105
82,right,w,0.067
83,left,w,0.104
84,right,c,0.061
85,left,c,0.121
86,right,w,0.057
87,left,c,0.129
88,right,w,0.035
89,left,c,0.143
90,right,w,0.022
91,right,c,0.84
92,right,c,0.176
93,right,w,0.175
94,right,c,0.174
95,right,c,0.176
96,right,w,0.499
97,right,c,0.081
98,right,c,0.083
99,right,w,0.085
100,right,w,0.081
101,right,w,0.083
102,right,c,0.082
103,right,c,0.085
104,right,w,0.083
105,right,w,0.084
106,right,w,0.081
107,right,w,0.081
108,right,c,0.08
109,right,w,0.085
110,right,w,0.08
111,right,c,0.086
112,right,c,0.082
113,right,w,0.084
114,right,c,0.084
115,right,c,0.082
116,right,c,0.085
117,right,c,0.083
118,right,w,0.082
119,right,c,0.081
120,right,w,0.084
121,left,c,0.815
122,right,c,0.798
123,left,c,0.673
124,right,c,0.574
125,right,w,1.024
126,right,c,0.863
127,left,c,0.591
128,left,w,1.031
129,right,c,0.861
130,right,w,0.248
131,right,c,0.149
132,right,c,0.153
133,right,w,0.153
134,right,c,0.141
135,right,w,0.144
136,right,w,0.148
137,right,w,0.161
138,right,c,0.143
139,right,w,0.151
140,right,c,0.132
141,right,c,0.161
142,right,w,0.142
143,right,w,0.159
144,right,w,0.157
145,right,w,0.151
146,right,w,0.158
147,right,w,0.16
148,right,w,0.166
149,right,w,0.158
150,right,c,0.158
151,left,c,0.7
152,left,c,0.88
153,right,c,0.783
154,left,c,0.719
155,left,w,0.206
156,left,c,0.374
157,right,c,0.168
158,left,w,0.126
159,right,c,0.055
160,left,w,0.11
161,right,c,0.047
162,left,w,0.112
163,right,c,0.054
164,left,c,0.104
165,right,c,0.054
166,right,c,0.176
167,left,c,0.384
168,right,c,0.064
169,left,c,0.071
170,right,c,0.089
171,right,w,0.151
172,left,c,0.047
173,right,w,0.109
174,left,w,0.07
175,right,c,0.097
176,left,w,0.055
177,right,c,0.107
178,left,w,0.067
179,right,c,0.088
180,left,w,0.077
