Tester: sahhe
Test Date: 2016-02-25 17:06
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,1.571
2,right,c,1.258
3,left,c,1.027
4,left,c,0.664
5,left,c,0.639
6,right,c,0.704
7,right,c,0.776
8,right,c,0.735
9,right,c,0.739
10,left,c,1.102
11,right,c,0.976
12,left,c,1.262
13,right,c,0.8
14,right,c,1.048
15,right,c,1.065
16,right,c,1.254
17,right,c,0.624
18,right,c,1
19,right,c,0.79
20,right,c,0.792
21,right,c,0.598
22,right,c,1.031
23,left,c,1.679
24,right,c,0.672
25,right,w,0.592
26,left,c,2.567
27,left,c,1.398
28,right,w,1.392
29,right,c,1.244
30,right,c,0.913
31,left,c,1.144
32,right,c,2.143
33,right,c,0.83
34,left,c,1.288
35,left,w,1.005
36,right,w,1.553
37,right,c,1.221
38,left,c,0.839
39,left,w,2.945
40,right,c,0.654
41,right,w,1.351
42,right,c,3.534
43,right,c,1.551
44,left,c,0.769
45,right,c,0.663
46,left,c,0.705
47,left,c,0.744
48,right,c,0.832
49,right,c,0.823
50,left,c,1.109
51,left,c,0.721
52,left,c,0.678
53,right,c,0.568
54,left,w,0.718
55,left,c,1.6
56,left,c,1.12
57,right,w,1.214
58,right,w,3.08
59,right,w,1.477
60,right,c,2.599
61,right,c,1.317
62,left,c,0.702
63,right,c,1.224
64,left,c,0.846
65,left,c,1.088
66,right,c,1.344
67,right,c,0.616
68,right,c,0.854
69,left,c,0.848
70,left,c,0.89
71,left,c,1.053
72,right,c,0.865
73,right,c,0.887
74,left,c,0.737
75,right,c,1.071
76,right,c,0.696
77,left,c,0.735
78,left,c,0.663
79,left,c,0.816
80,left,c,0.689
81,right,c,0.631
82,right,c,0.854
83,left,c,1.369
84,left,c,0.751
85,left,c,0.6
86,right,c,1.153
87,left,c,0.767
88,left,c,1.039
89,right,c,0.584
90,left,c,0.656
91,left,w,1.127
92,left,w,1.07
93,right,c,1.062
94,left,w,2.846
95,right,c,34.813
96,right,c,0.944
97,right,c,0.815
98,left,c,1.263
99,left,c,0.872
100,right,c,0.92
101,left,c,0.847
102,right,c,0.913
103,right,c,0.91
104,left,c,0.592
105,right,c,0.705
106,right,c,1.173
107,left,c,0.792
108,right,c,0.848
109,right,c,0.768
110,right,w,0.296
111,right,c,2.66
112,left,c,0.784
113,right,c,0.694
114,left,c,0.601
115,left,c,0.688
116,left,c,0.648
117,right,c,0.744
118,right,c,1.023
119,left,c,0.679
120,right,c,1.088
121,right,c,3.634
122,right,c,1.145
123,left,c,0.76
124,left,c,0.726
125,left,c,0.695
126,left,c,0.799
127,left,c,0.936
128,right,c,0.751
129,left,c,0.991
130,right,c,0.671
131,right,c,1.143
132,left,c,0.6
133,left,c,0.686
134,right,c,0.815
135,left,c,1.056
136,left,c,0.943
137,left,c,1.192
138,right,c,0.791
139,left,c,0.904
140,left,c,0.632
141,right,c,1.034
142,left,c,1.496
143,right,c,1.406
144,left,c,0.631
145,left,c,0.809
146,left,c,0.702
147,left,c,0.816
148,left,c,0.936
149,right,c,0.96
150,right,c,0.96
151,left,c,0.762
152,left,c,0.889
153,left,c,0.974
154,right,c,0.84
155,left,c,0.864
156,right,c,0.743
157,left,c,0.824
158,left,c,0.777
159,left,w,1.277
160,right,c,1.646
161,left,c,1.319
162,right,c,0.983
163,left,c,1.424
164,left,c,0.847
165,left,c,0.887
166,right,c,0.831
167,left,c,1.327
168,right,c,0.848
169,left,c,1.415
170,left,c,0.695
171,right,c,0.864
172,left,c,1.135
173,right,c,1.24
174,right,c,0.935
175,right,w,0.752
176,left,c,0.911
177,left,w,1.408
178,right,c,0.863
179,left,c,0.776
180,left,c,0.808
