Tester: hhh
Test Date: 2016-02-25 17:17
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,1.108
2,right,c,0.938
3,left,c,0.958
4,right,c,0.977
5,left,c,0.77
6,left,c,0.799
7,left,c,0.93
8,right,c,0.834
9,left,c,0.721
10,right,c,0.704
11,left,c,1.219
12,left,c,0.887
13,left,c,1.046
14,left,c,1.176
15,right,c,1.15
16,right,c,1.064
17,left,c,0.713
18,right,c,0.764
19,left,c,0.817
20,left,c,1.229
21,right,c,1.061
22,right,c,1.294
23,left,c,0.89
24,right,c,1.024
25,left,c,0.719
26,right,c,1.303
27,left,c,1.056
28,right,c,1.136
29,left,c,1.015
30,right,c,1.169
31,right,w,0.894
32,right,w,1.233
33,left,c,1.391
34,right,c,1.103
35,right,c,0.952
36,right,c,2.028
37,left,c,0.895
38,left,c,0.919
39,left,c,1.007
40,right,c,0.931
41,right,c,1.103
42,left,c,1.228
43,left,c,1.449
44,left,c,0.896
45,left,c,1.064
46,left,c,1.082
47,left,c,0.842
48,right,c,1.033
49,left,c,1.06
50,left,c,0.865
51,right,c,1.009
52,right,c,1.011
53,left,c,0.92
54,right,c,0.812
55,left,c,1.226
56,right,c,0.818
57,right,c,0.872
58,right,c,0.995
59,right,w,0.424
60,right,w,0.213
61,right,c,0.855
62,right,c,0.96
63,right,c,0.193
64,right,w,0.201
65,right,c,0.171
66,right,w,0.196
67,right,c,0.175
68,right,c,0.184
69,right,w,0.168
70,right,w,0.167
71,right,w,0.179
72,right,w,0.186
73,right,w,0.166
74,right,w,0.175
75,right,w,0.177
76,right,w,0.179
77,right,c,0.171
78,right,w,0.187
79,right,w,0.176
80,right,w,0.222
81,right,w,0.192
82,right,c,0.209
83,right,w,0.239
84,right,w,0.465
85,right,c,0.187
86,right,w,0.204
87,right,w,0.199
88,right,c,0.283
89,right,c,0.204
90,right,w,0.199
91,right,c,0.731
92,left,c,0.872
93,left,w,0.22
94,left,c,0.198
95,left,c,0.184
96,left,w,0.183
97,left,w,0.172
98,left,w,0.187
99,left,c,0.18
100,left,c,0.184
101,left,c,0.188
102,left,c,0.176
103,left,c,0.167
104,left,w,0.185
105,left,w,0.181
106,left,c,0.183
107,left,c,0.194
108,left,c,0.193
109,left,w,0.193
110,left,w,0.188
111,left,c,0.211
112,left,w,0.231
113,left,c,0.222
114,left,w,0.225
115,left,c,0.2
116,left,c,0.208
117,left,c,0.201
118,left,w,0.187
119,left,w,0.19
120,left,w,0.191
121,left,c,4.448
122,right,c,0.715
123,left,c,0.738
124,left,c,0.868
125,right,c,0.701
126,right,c,0.184
127,right,w,0.185
128,right,w,0.177
129,right,w,0.182
130,right,c,0.201
131,right,c,0.199
132,right,c,0.437
133,right,w,0.182
134,right,w,0.183
135,right,c,0.177
136,right,w,0.207
137,right,c,0.176
138,right,c,0.242
139,right,c,0.344
140,right,c,0.372
141,right,w,0.183
142,right,w,0.209
143,right,w,0.537
144,right,w,0.191
145,right,c,0.345
146,right,w,0.33
147,right,w,0.367
148,right,w,0.177
149,right,c,0.199
150,right,w,0.194
151,left,c,0.866
152,left,c,1.006
153,right,c,0.94
154,right,c,0.912
155,right,w,0.762
156,right,w,0.417
157,right,w,0.222
158,right,w,0.169
159,right,c,0.193
160,right,w,0.184
161,right,w,0.19
162,right,w,0.184
163,right,w,0.193
164,right,w,0.191
165,right,w,0.185
166,right,w,0.185
167,right,c,0.194
168,right,w,0.172
169,right,w,0.191
170,right,w,0.184
171,right,c,0.183
172,right,c,0.194
173,right,w,0.2
174,right,w,0.217
175,right,w,0.26
176,right,w,0.191
177,right,w,0.191
178,right,c,0.193
179,right,c,0.21
180,right,w,0.202
