Tester: Sherry2
Test Date: 2016-02-26 14:06
Test Mode: sharp and round
Test Type: Complex
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,1.124
2,left,c,0.753
3,left,c,0.434
4,right,c,0.479
5,left,c,0.607
6,right,c,0.449
7,left,c,0.486
8,left,c,0.536
9,right,c,0.479
10,left,c,0.461
11,right,c,0.64
12,left,c,0.447
13,left,c,0.543
14,left,c,0.583
15,right,c,0.432
16,right,c,0.765
17,left,c,0.466
18,left,c,0.623
19,right,c,0.663
20,right,c,0.47
21,right,c,0.471
22,left,c,0.519
23,right,c,0.489
24,right,c,0.967
25,left,c,0.686
26,left,c,1.023
27,left,c,0.559
28,left,c,0.632
29,right,c,0.462
30,right,c,1.511
31,left,c,0.454
32,left,c,0.512
33,right,c,0.503
34,right,c,0.831
35,left,c,0.847
36,left,c,0.575
37,left,w,0.584
38,right,c,1.046
39,right,c,0.559
40,right,c,0.479
41,left,c,0.624
42,left,c,1.047
43,right,c,0.552
44,right,c,0.501
45,right,c,0.568
46,left,c,0.737
47,right,c,0.559
48,left,c,0.631
49,left,c,0.615
50,left,c,0.575
51,right,c,0.559
52,right,c,0.544
53,left,c,0.72
54,right,c,0.671
55,right,c,0.614
56,left,c,0.568
57,right,c,0.59
58,right,c,1.071
59,left,c,0.958
60,right,c,0.864
61,left,c,0.605
62,right,c,1.135
63,left,c,1.215
64,right,c,1.327
65,left,c,0.83
66,right,c,0.519
67,left,c,0.519
68,right,c,0.623
69,left,c,0.535
70,left,c,0.655
71,right,c,0.583
72,right,c,0.631
73,right,c,0.576
74,left,c,0.622
75,left,c,0.575
76,left,c,0.839
77,left,c,0.414
78,left,c,0.464
79,right,c,0.679
80,right,c,0.624
81,left,c,0.527
82,right,c,0.512
83,right,c,0.502
84,left,c,0.615
85,left,c,0.527
86,right,c,0.439
87,left,c,0.496
88,left,c,0.679
89,left,c,0.655
90,left,c,0.599
91,right,c,0.516
92,left,c,0.599
93,left,c,0.449
94,left,c,0.63
95,left,c,0.552
96,right,c,0.463
97,left,c,0.56
98,right,c,0.551
99,left,c,0.51
100,left,c,0.616
101,right,c,0.456
102,left,c,0.615
103,left,c,0.599
104,left,c,0.576
105,right,c,0.504
106,right,c,0.719
107,left,c,0.503
108,right,c,0.519
109,right,c,0.838
110,left,c,0.521
111,left,c,0.598
112,right,c,0.535
113,right,c,0.607
114,left,c,0.495
115,left,c,0.783
116,left,c,0.551
117,left,c,0.463
118,left,c,0.486
119,left,c,0.607
120,left,c,0.623
121,right,c,0.971
122,left,c,0.48
123,left,c,1.2
124,right,c,0.422
125,right,c,0.88
126,right,c,0.984
127,left,c,0.767
128,left,w,1.623
129,right,c,2.451
130,right,c,0.879
131,left,c,0.696
132,left,c,1.138
133,right,w,0.637
134,left,c,1.029
135,right,c,2.48
136,left,c,0.895
137,left,c,0.879
138,right,c,0.656
139,right,c,1.135
140,left,c,0.705
141,left,c,0.816
142,right,c,0.934
143,left,c,1.031
144,right,c,0.609
145,left,c,0.719
146,left,c,1.126
147,left,c,0.617
148,right,c,0.598
149,left,c,0.519
150,right,c,0.504
151,right,w,0.725
152,right,c,1.102
153,left,w,0.791
154,left,c,0.95
155,right,w,0.895
156,left,c,1.173
157,left,c,1.168
158,right,c,0.702
159,right,c,1.015
160,left,c,0.839
161,left,c,2.36
162,right,c,0.712
163,right,c,1.312
164,left,c,0.591
165,left,c,0.719
166,right,c,0.519
167,right,c,0.911
168,right,c,0.608
169,right,c,0.95
170,right,c,0.503
171,left,w,0.736
172,left,c,0.99
173,left,c,1.304
174,right,c,0.816
175,left,c,0.774
176,right,c,0.647
177,left,c,0.68
178,right,c,0.831
179,right,c,1.111
180,left,c,0.72
