Tester: Henry
Test Date: 2016-03-16 15:32
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,1.163
2,right,c,0.661
3,left,c,0.952
4,right,c,0.688
5,right,c,0.734
6,left,c,0.728
7,right,c,0.535
8,left,c,0.68
9,right,c,0.542
10,left,c,0.648
11,left,c,0.694
12,right,c,0.632
13,left,c,0.56
14,left,c,0.6
15,right,c,0.519
16,right,c,0.637
17,right,c,0.614
18,right,c,0.711
19,right,c,0.607
20,right,c,0.607
21,right,c,0.591
22,right,c,0.575
23,right,c,0.616
24,left,c,0.782
25,right,c,0.599
26,right,c,0.607
27,left,c,0.728
28,right,c,0.55
29,left,c,0.591
30,right,c,0.519
31,left,c,0.647
32,left,c,0.679
33,right,c,0.687
34,left,c,0.583
35,right,c,0.895
36,left,c,0.551
37,left,c,0.552
38,right,c,0.518
39,right,c,0.535
40,left,c,0.751
41,left,c,0.791
42,left,c,0.775
43,left,c,0.991
44,left,c,0.631
45,right,c,0.888
46,left,c,0.591
47,left,c,0.672
48,left,c,0.728
49,left,c,0.616
50,right,c,0.688
51,left,c,0.655
52,left,w,0.631
53,left,c,1.479
54,left,c,0.623
55,right,c,0.622
56,left,c,0.616
57,right,c,0.646
58,left,c,0.607
59,right,c,0.535
60,left,c,0.591
61,left,c,0.566
62,right,c,0.487
63,right,c,0.574
64,right,c,0.623
65,left,c,0.527
66,right,c,0.455
67,left,c,0.511
68,right,c,0.591
69,left,c,0.503
70,right,c,0.518
71,right,c,0.553
72,right,c,0.662
73,left,c,0.526
74,left,c,0.615
75,right,c,0.487
76,right,c,0.607
77,left,c,0.583
78,left,c,0.615
79,left,c,0.608
80,right,c,0.526
81,left,c,0.488
82,left,c,0.663
83,left,c,0.575
84,right,c,0.535
85,left,c,0.559
86,right,c,0.751
87,right,c,0.67
88,right,c,0.632
89,left,c,0.711
90,right,c,0.799
91,left,c,0.64
92,left,c,0.631
93,left,w,2.239
94,right,w,0.883
95,left,c,2.932
96,right,c,2.199
97,left,c,0.863
98,left,c,0.648
99,left,c,0.679
100,right,c,0.719
101,left,c,0.527
102,left,c,0.783
103,right,c,0.727
104,left,c,0.559
105,left,c,0.671
106,right,c,0.511
107,left,c,0.559
108,left,c,0.567
109,right,c,0.52
110,right,c,0.887
111,left,c,0.527
112,left,c,0.511
113,right,c,0.615
114,left,c,0.479
115,left,c,0.558
116,right,c,0.568
117,right,c,0.543
118,left,c,0.543
119,right,c,0.519
120,left,c,0.503
121,right,c,1.563
122,right,c,0.671
123,right,c,0.703
124,left,c,0.631
125,right,c,0.648
126,left,c,0.553
127,left,c,0.549
128,right,c,0.526
129,right,c,0.544
130,right,c,0.56
131,left,c,0.735
132,left,c,0.736
133,right,c,0.56
134,left,c,0.696
135,left,c,0.639
136,right,c,0.551
137,left,c,0.575
138,right,c,0.574
139,right,c,0.696
140,right,c,0.615
141,left,c,0.864
142,left,c,0.645
143,left,c,0.559
144,right,c,0.607
145,right,c,0.551
146,left,c,0.535
147,left,c,0.583
148,right,c,0.592
149,right,c,0.599
150,left,c,0.575
151,left,c,0.559
152,left,c,0.583
153,left,c,0.551
154,left,w,0.575
155,right,c,4.373
156,left,c,3.448
157,left,c,1.046
158,right,c,0.696
159,left,c,0.583
160,right,c,0.607
161,left,c,1.127
162,right,c,0.591
163,left,c,0.543
164,right,c,0.472
165,left,c,0.471
166,right,c,0.479
167,right,c,0.647
168,left,c,0.488
169,left,c,0.799
170,right,c,0.655
171,right,c,0.727
172,left,c,0.576
173,right,c,0.551
174,right,c,0.726
175,left,c,0.639
176,right,c,0.456
177,left,c,0.535
178,right,c,0.511
179,left,c,0.496
180,left,c,0.535
181,right,c,0.528
182,right,c,0.52
183,right,c,0.614
184,right,c,0.646
185,left,c,0.535
186,left,c,0.607
187,right,c,0.527
188,right,c,0.551
189,left,c,0.591
190,right,c,0.575
191,right,c,0.551
192,right,c,0.535
193,left,c,0.543
194,right,c,0.959
195,left,c,0.679
196,right,c,0.863
197,right,c,0.839
198,right,c,0.541
199,right,c,0.745
200,left,c,0.647
201,left,c,0.671
202,left,c,0.623
203,left,c,0.567
204,right,c,0.727
205,left,c,0.639
206,right,c,0.663
207,right,c,0.695
208,left,c,0.679
209,left,c,0.679
