Tester: Jason
Test Date: 2016-03-21 14:02
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,1.506
2,right,c,0.82
3,right,c,0.797
4,right,c,0.673
5,left,c,0.798
6,left,c,0.784
7,right,c,0.663
8,left,c,0.64
9,left,c,0.735
10,right,c,0.646
11,right,c,0.736
12,right,c,0.647
13,right,c,0.736
14,right,c,0.985
15,right,c,0.646
16,right,c,0.951
17,right,c,0.743
18,left,c,0.847
19,left,c,1.184
20,right,c,0.734
21,left,c,0.791
22,left,c,0.943
23,right,c,0.807
24,right,c,0.871
25,right,c,0.791
26,left,c,0.783
27,left,c,0.687
28,right,c,0.879
29,left,c,0.88
30,right,c,0.647
31,right,c,0.703
32,right,c,0.792
33,right,c,0.648
34,left,c,0.639
35,right,c,0.679
36,left,c,0.488
37,right,c,0.976
38,right,c,0.726
39,right,c,0.598
40,left,c,0.584
41,right,c,0.671
42,right,c,0.6
43,left,c,0.664
44,right,c,0.6
45,right,c,0.623
46,right,c,0.712
47,left,c,0.615
48,right,c,0.559
49,right,c,0.647
50,left,c,2.151
51,right,c,0.808
52,left,c,0.632
53,left,c,0.672
54,right,c,0.655
55,right,w,0.767
56,left,w,1.733
57,left,c,3.211
58,right,c,0.727
59,right,c,0.823
60,left,c,0.623
61,right,c,0.791
62,left,c,0.687
63,right,c,0.687
64,left,c,0.639
65,right,c,0.912
66,left,c,0.623
67,left,c,0.679
68,right,c,0.591
69,left,c,0.615
70,right,c,0.647
71,right,c,0.695
72,left,c,0.615
73,left,c,0.727
74,right,c,0.551
75,right,c,0.599
76,right,c,1.182
77,right,c,0.6
78,left,c,0.688
79,right,c,0.775
80,right,c,0.952
81,right,c,0.64
82,right,c,0.654
83,left,c,0.807
84,left,c,0.824
85,right,c,0.632
86,left,c,0.679
87,left,c,0.84
88,right,c,0.687
89,left,c,0.975
90,right,c,0.521
91,left,c,0.928
92,left,c,0.911
93,left,c,0.736
94,right,c,0.741
95,right,c,0.656
96,left,c,0.678
97,right,c,0.639
98,left,c,0.583
99,left,w,0.831
100,left,c,2.229
101,right,c,0.615
102,left,c,0.663
103,right,c,0.527
104,left,w,0.751
105,left,w,1.478
106,right,w,2.166
107,right,c,2.502
108,left,c,0.783
109,right,c,0.807
110,left,c,1.064
111,left,c,1.287
112,right,c,0.855
113,right,c,1.648
114,right,c,1.031
115,left,c,1.104
116,right,c,0.727
117,left,c,1.415
118,right,c,0.631
119,left,c,0.656
120,left,c,1.064
121,right,w,1.186
122,right,c,1.964
123,right,c,0.935
124,left,c,0.927
125,right,c,0.622
126,left,c,0.681
127,right,c,0.655
128,right,c,0.655
129,left,c,0.735
130,right,c,0.633
131,left,c,0.734
132,left,c,0.632
133,right,c,0.774
134,right,c,0.687
135,right,c,0.68
136,left,c,0.743
137,right,c,0.639
138,left,c,0.759
139,right,c,0.623
140,left,c,0.831
141,left,c,0.728
142,left,c,0.687
143,right,c,1.111
144,right,c,0.846
145,right,c,0.648
146,right,c,0.64
147,left,c,0.72
148,left,c,1.32
149,left,c,1.016
150,left,c,0.868
151,left,c,0.808
152,right,c,0.743
153,left,c,0.615
154,left,c,0.703
155,right,c,0.751
156,right,c,0.975
157,left,c,1.423
158,right,c,0.967
159,right,c,0.896
160,right,c,0.655
161,right,c,0.847
162,right,c,1.359
163,left,c,0.591
164,right,c,0.543
165,right,c,0.759
166,right,c,0.671
167,right,c,0.671
168,right,c,0.679
169,right,c,0.783
170,right,c,0.679
171,right,c,0.647
172,right,c,0.879
173,right,c,0.575
174,right,c,0.727
175,left,c,0.679
176,left,c,0.711
177,left,c,0.743
178,left,c,0.767
179,right,c,0.711
180,right,c,0.679
181,right,c,0.607
182,right,c,0.663
183,left,c,0.688
184,right,c,0.68
185,right,c,0.664
186,right,c,0.664
187,left,c,0.712
188,left,c,0.696
189,left,c,0.863
190,right,c,0.672
191,left,c,0.648
192,left,c,0.943
193,left,c,0.8
194,right,c,1.111
195,right,c,0.696
196,left,c,0.671
197,right,c,0.616
198,right,c,0.599
199,right,c,1.183
200,right,c,0.607
201,right,c,0.551
202,left,c,0.943
203,left,c,0.743
204,left,c,0.696
205,left,c,0.775
206,right,c,0.623
207,right,c,0.805
208,left,c,0.688
209,right,c,0.647
210,right,c,0.607
211,left,c,0.647
