Tester: Paul
Test Date: 2016-03-23 11:27
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,1.49
2,right,c,0.795
3,right,c,1.16
4,left,c,0.879
5,right,c,0.767
6,right,c,0.646
7,left,c,0.777
8,left,c,0.871
9,right,c,0.761
10,right,c,0.726
11,left,c,0.744
12,right,c,0.862
13,right,c,0.639
14,right,c,0.704
15,left,c,1.04
16,left,c,0.759
17,left,c,0.703
18,right,c,0.783
19,right,w,2.312
20,right,w,1.365
21,right,w,1.246
22,right,c,1.942
23,left,w,1.687
24,left,c,1.789
25,right,c,1.111
26,right,c,1.424
27,left,c,0.824
28,left,c,0.671
29,right,c,0.831
30,right,c,0.647
31,left,c,0.84
32,left,c,0.624
33,right,c,1.103
34,left,c,0.807
35,right,c,0.687
36,left,c,0.767
37,left,c,0.663
38,left,c,0.671
39,left,c,0.655
40,left,c,0.639
41,left,c,0.671
42,left,c,0.767
43,left,c,0.566
44,left,c,0.711
45,right,c,0.959
46,left,c,0.623
47,right,c,0.695
48,left,c,0.791
49,right,c,0.567
50,right,c,0.823
51,left,c,0.631
52,right,c,0.719
53,right,c,0.583
54,right,c,0.712
55,right,c,0.806
56,left,c,0.688
57,left,c,0.743
58,left,c,0.599
59,left,c,0.68
60,left,c,0.719
61,right,c,0.904
62,right,c,0.72
63,left,c,0.943
64,left,c,0.576
65,right,c,0.928
66,right,c,0.679
67,left,c,0.815
68,left,c,0.734
69,left,c,0.96
70,right,c,0.664
71,left,c,1.11
72,left,c,0.887
73,left,c,0.656
74,right,c,0.887
75,left,c,0.648
76,right,c,0.574
77,right,c,0.598
78,left,c,0.671
79,left,c,0.59
80,right,c,0.647
81,left,c,0.599
82,left,c,0.711
83,left,c,0.615
84,right,c,0.615
85,left,c,0.591
86,left,c,0.727
87,left,c,0.599
88,left,c,0.927
89,right,c,0.783
90,left,c,0.615
91,right,c,0.959
92,right,c,0.703
93,right,c,0.663
94,left,c,2.087
95,left,c,0.558
96,left,c,0.872
97,left,c,0.648
98,right,c,0.767
99,left,c,0.576
100,left,c,0.895
101,right,c,0.896
102,left,c,1.04
103,right,c,0.703
104,left,w,0.67
105,right,c,2.583
106,left,c,0.823
107,left,c,0.695
108,right,c,0.752
109,right,c,1.574
110,right,c,1.055
111,left,w,0.943
112,right,c,1.27
113,right,c,1.262
114,right,c,1.216
115,left,c,0.607
116,right,c,0.863
117,right,c,0.991
118,right,c,0.799
119,left,c,0.719
120,left,c,0.687
121,right,w,0.836
122,left,c,1.589
123,left,c,1.495
124,right,c,0.767
125,left,c,0.487
126,left,c,0.535
127,left,c,0.768
128,right,c,1.288
129,left,c,0.672
130,left,c,0.608
131,right,c,0.553
132,left,c,0.63
133,left,c,0.694
134,left,c,0.616
135,left,c,0.76
136,left,c,0.495
137,right,c,0.775
138,left,c,0.471
139,left,c,1.151
140,left,c,0.679
141,left,c,0.719
142,left,c,0.695
143,right,c,0.784
144,left,c,0.591
145,left,c,0.895
146,right,c,0.887
147,left,c,0.647
148,right,c,0.631
149,left,c,0.792
150,right,c,0.687
151,left,c,0.471
152,left,c,0.567
153,left,c,0.615
154,right,c,0.919
155,left,c,0.599
156,right,c,0.775
157,right,c,0.663
158,left,c,0.671
159,right,c,0.783
160,right,c,0.959
161,left,c,0.806
162,right,c,0.985
163,right,c,0.935
164,left,c,0.592
165,right,c,0.664
166,right,c,0.927
167,right,c,0.832
168,left,c,0.792
169,left,c,0.712
170,right,c,0.799
171,left,c,0.799
172,left,c,0.584
173,right,c,0.967
174,right,c,0.624
175,right,c,1.087
176,left,c,0.648
177,right,c,0.639
178,right,c,0.808
179,left,c,0.6
180,right,c,0.831
181,right,c,0.848
182,left,c,0.807
183,right,c,0.719
184,right,c,0.743
185,left,c,0.687
186,right,c,0.672
187,left,c,0.695
188,right,w,0.694
189,right,c,0.902
190,right,c,0.751
191,right,c,1.008
192,left,c,0.631
193,left,c,0.791
194,right,c,1.271
195,left,c,0.695
196,left,c,0.623
197,left,c,1.087
198,left,c,0.631
199,right,c,0.705
200,right,c,0.637
201,left,c,0.561
202,left,c,0.607
203,left,c,0.816
204,right,c,1.056
205,left,c,0.584
206,right,c,0.824
207,right,c,0.759
208,left,c,0.592
209,left,c,0.919
210,left,c,0.559
211,right,c,0.584
212,right,c,0.575
213,right,c,0.991
214,right,c,0.552
215,right,c,0.807
216,right,c,0.663
217,right,c,1.255
218,right,c,1.161
219,right,c,0.791
220,left,c,0.902
221,right,c,0.704
222,right,c,0.615
223,right,c,0.743
224,left,c,0.991
225,right,c,0.663
226,left,c,0.607
227,left,c,0.775
228,right,c,1.319
229,right,c,0.815
230,left,c,0.663
231,left,c,0.759
232,left,c,0.543
233,right,c,0.639
234,right,c,0.527
235,right,c,0.712
236,left,c,0.751
237,right,c,0.766
238,left,c,0.839
239,left,c,0.935
240,left,c,0.757
241,left,c,0.528
242,left,c,0.783
243,left,c,0.623
244,right,c,0.72
245,right,c,0.951
246,right,c,0.696
247,left,c,0.631
248,right,c,0.727
249,left,c,0.544
250,right,c,0.815
251,left,c,0.472
252,right,c,0.679
253,right,c,0.847
254,right,c,0.632
255,left,c,0.511
256,right,c,0.76
257,right,c,0.688
258,left,c,0.6
259,left,c,0.926
260,right,c,1.151
261,left,c,0.584
262,right,c,0.591
263,left,c,0.551
264,left,w,1.231
265,right,c,1.165
266,left,w,0.671
267,right,c,0.98
268,right,w,0.583
269,right,c,1.486
270,left,c,1.367
271,left,c,0.847
272,right,c,0.919
