Tester: Tracy_2
Test Date: 2016-03-30 16:17
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,0.904
2,right,c,0.536
3,left,c,0.545
4,left,c,0.76
5,right,c,0.502
6,left,c,0.681
7,right,c,0.536
8,left,c,0.759
9,right,c,0.592
10,right,c,0.511
11,left,c,0.55
12,right,c,0.496
13,right,c,0.904
14,left,c,0.512
15,right,c,0.559
16,left,c,0.519
17,right,c,0.527
18,right,c,0.479
19,right,c,0.463
20,right,c,0.551
21,right,c,0.495
22,right,c,0.545
23,left,c,0.615
24,right,c,0.549
25,right,c,0.584
26,left,c,0.712
27,left,c,0.6
28,right,c,0.56
29,left,c,0.528
30,right,c,0.591
31,left,c,0.559
32,left,c,0.544
33,right,c,0.712
34,left,c,0.584
35,left,c,0.551
36,right,c,0.888
37,right,c,0.616
38,right,c,0.527
39,left,c,0.535
40,left,c,0.519
41,left,c,0.599
42,right,c,0.495
43,right,c,0.543
44,right,c,0.505
45,right,c,0.536
46,left,c,0.688
47,right,c,0.447
48,left,c,0.52
49,left,c,0.543
50,left,c,0.719
51,right,c,0.528
52,left,c,0.631
53,right,c,0.511
54,right,c,0.568
55,right,c,0.487
56,left,c,0.606
57,left,c,0.672
58,right,c,0.511
59,left,c,0.527
60,left,c,0.566
61,left,c,0.6
62,left,c,0.479
63,right,c,0.655
64,left,c,0.607
65,left,c,0.623
66,right,c,0.471
67,right,c,0.495
68,left,c,0.495
69,left,c,0.559
70,right,c,0.479
71,right,c,0.52
72,right,c,0.423
73,right,c,0.503
74,right,c,0.472
75,left,c,0.552
76,left,c,0.485
77,left,c,0.535
78,left,c,0.568
79,right,c,0.487
80,right,c,0.72
81,left,c,0.495
82,right,c,0.463
83,left,c,0.583
84,left,c,1.136
85,left,c,0.535
86,left,c,0.639
87,right,c,0.6
88,right,c,0.551
89,right,c,0.487
90,left,c,0.535
91,right,c,0.503
92,right,c,0.552
93,right,c,0.504
94,left,c,0.775
95,left,c,0.495
96,left,c,0.592
97,right,c,0.512
98,right,c,0.703
99,left,c,0.632
100,left,c,0.567
101,left,c,0.599
102,right,c,0.447
103,right,c,0.447
104,right,c,0.56
105,right,c,0.471
106,left,c,0.575
107,left,c,0.823
108,right,c,0.647
109,left,c,0.511
110,left,c,0.719
111,right,c,0.607
112,left,c,0.471
113,left,c,0.551
114,right,c,0.503
115,right,c,0.463
116,right,c,0.495
117,right,c,0.624
118,right,c,0.487
119,right,w,0.543
120,right,c,0.846
121,left,c,1.819
122,right,c,0.535
123,left,c,0.398
124,left,c,0.511
125,right,c,0.495
126,right,c,0.599
127,right,c,0.463
128,right,c,0.43
129,left,c,0.465
130,right,c,0.458
131,left,c,0.47
132,left,c,0.527
133,right,c,0.83
134,right,c,0.432
135,left,c,0.463
136,right,c,0.462
137,right,c,0.441
138,left,c,0.488
139,right,c,0.503
140,right,c,0.479
141,left,c,0.647
142,right,c,0.415
143,left,c,0.632
144,right,c,0.551
145,right,c,0.496
146,right,c,0.47
147,left,c,0.511
148,right,c,0.527
149,right,c,0.487
150,right,c,0.551
151,left,c,0.631
152,right,c,0.447
153,right,c,0.495
154,left,c,0.455
155,right,c,0.431
156,left,c,0.439
157,right,c,0.623
158,right,c,0.439
159,left,c,0.488
160,left,c,0.558
161,left,c,0.472
162,right,c,0.448
163,left,c,0.599
164,left,c,0.56
165,right,c,0.503
166,right,c,0.511
167,right,c,0.655
168,left,c,0.703
169,left,c,0.783
170,left,c,0.607
171,left,c,0.591
172,left,c,0.535
173,left,c,0.503
174,right,c,0.495
175,left,c,0.544
176,left,c,0.624
177,left,c,0.583
178,right,c,0.462
179,right,c,0.496
180,right,c,0.735
181,right,c,0.504
182,left,c,0.624
183,left,c,0.527
184,right,c,0.608
185,right,c,0.648
186,left,c,0.521
187,right,c,0.567
188,right,c,0.615
189,left,c,0.607
190,right,c,0.439
191,left,c,0.487
192,left,c,0.527
193,right,c,0.471
194,left,c,0.512
195,left,c,0.615
196,left,c,0.543
197,left,c,0.559
198,left,c,0.535
199,left,c,0.527
200,left,c,0.551
201,left,c,0.495
202,left,w,0.431
203,right,c,0.812
204,right,c,0.615
205,right,c,0.591
206,left,c,0.502
207,left,c,0.527
208,right,c,0.479
209,right,c,0.511
210,right,c,0.679
