Tester: Justin
Test Date: 2016-04-01 13:21
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,2.544
2,left,c,1.46
3,right,c,1.006
4,right,c,2.239
5,left,c,0.887
6,left,c,0.951
7,right,c,0.783
8,right,c,1.184
9,left,c,0.897
10,left,c,1.189
11,left,c,0.919
12,left,c,1.007
13,right,c,0.942
14,right,c,1.176
15,right,c,1.176
16,left,c,0.735
17,left,c,0.902
18,right,c,0.831
19,left,c,1.127
20,right,c,1.03
21,left,c,1.584
22,right,c,0.631
23,right,c,0.935
24,right,c,1.264
25,right,c,0.816
26,left,c,0.679
27,left,c,1.079
28,right,c,1.088
29,right,c,1.071
30,left,c,0.864
31,left,c,1.256
32,right,c,0.968
33,right,c,1.079
34,right,c,0.969
35,right,c,0.958
36,right,c,0.999
37,right,c,0.679
38,right,c,0.927
39,right,c,0.719
40,left,c,0.855
41,right,c,0.856
42,right,c,0.884
43,right,c,0.793
44,left,c,0.735
45,left,c,1.087
46,left,c,1.895
47,right,c,0.815
48,right,c,1.111
49,left,c,0.928
50,left,c,0.879
51,left,c,0.823
52,left,c,1.001
53,left,c,0.687
54,left,c,0.815
55,left,c,0.76
56,left,c,1.496
57,left,c,0.621
58,right,c,0.902
59,right,c,1.496
60,left,c,0.912
61,right,c,0.744
62,left,c,0.727
63,left,c,1.431
64,left,c,0.856
65,left,c,0.862
66,left,c,1.096
67,right,c,1.04
68,right,c,1.048
69,left,c,0.847
70,left,c,1.119
71,right,c,0.815
72,left,c,0.839
73,right,c,1.071
74,right,c,0.935
75,left,c,1.16
76,left,c,1.302
77,left,c,0.967
78,left,c,1.095
79,left,c,0.727
80,left,c,0.999
81,right,c,0.84
82,left,c,1.118
83,left,c,1
84,left,c,0.792
85,right,c,1.071
86,right,c,1.071
87,right,c,0.799
88,right,c,0.872
89,right,c,0.903
90,right,c,1.48
91,left,c,1.08
92,right,c,1.495
93,right,c,1.048
94,right,c,0.96
95,left,c,1.071
96,right,c,0.935
97,right,c,0.832
98,right,c,1.143
99,right,c,0.671
100,right,c,1.375
101,left,c,0.863
102,left,c,1.583
103,right,c,0.71
104,left,c,0.88
105,left,c,0.83
106,right,c,0.663
107,left,c,0.847
108,left,c,1.135
109,right,c,0.744
110,left,c,0.671
111,right,c,0.87
112,right,c,1.216
113,right,c,1.166
114,right,c,1.816
115,right,c,0.896
116,left,c,0.904
117,right,c,1.038
118,right,c,1.28
