Tester: PCL
Test Date: 2016-04-11 11:03
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,1.067
2,right,c,0.811
3,right,c,0.895
4,right,c,0.752
5,right,c,0.742
6,left,c,0.759
7,right,c,0.888
8,left,c,0.679
9,left,c,0.776
10,right,c,0.718
11,left,c,0.856
12,right,c,0.754
13,right,c,0.806
14,left,c,0.736
15,right,c,0.775
16,left,c,0.815
17,right,c,0.816
18,left,c,0.791
19,left,c,0.791
20,right,c,0.679
21,right,c,0.767
22,right,c,0.712
23,right,c,0.727
24,right,c,0.767
25,right,c,0.903
26,left,c,0.767
27,left,c,0.743
28,left,c,0.767
29,right,c,0.871
30,left,c,0.76
31,left,c,0.768
32,right,c,0.76
33,left,c,0.847
34,right,c,0.648
35,left,c,0.831
36,right,c,0.982
37,right,c,0.767
38,left,c,0.815
39,left,c,0.767
40,left,c,0.799
41,right,c,0.775
42,right,c,0.775
43,left,c,0.751
44,left,c,0.743
45,right,c,0.823
46,right,c,0.743
47,right,c,0.895
48,right,c,0.879
49,right,c,0.823
50,left,c,1.207
51,left,c,0.719
52,left,c,0.743
53,left,c,0.768
54,left,c,0.688
55,left,c,0.751
56,left,c,0.761
57,left,c,0.733
58,right,c,0.694
59,left,c,0.728
60,left,c,0.84
61,right,c,0.824
62,left,c,0.736
63,right,c,1.215
64,right,c,0.8
65,left,c,0.775
66,right,c,0.736
67,left,c,0.744
68,right,c,0.823
69,right,c,0.719
70,right,c,0.849
71,right,c,0.679
72,right,c,0.72
73,left,c,0.879
74,left,c,0.655
75,right,c,0.808
76,right,c,0.71
77,right,c,0.86
78,left,c,0.631
79,right,c,0.751
80,right,c,0.841
81,right,c,0.871
82,left,c,0.944
83,right,c,0.927
84,left,c,0.679
85,right,c,0.903
86,right,c,0.911
87,left,c,0.711
88,left,c,0.663
89,left,c,0.751
90,right,c,1.023
91,right,c,1.311
92,left,c,0.88
93,right,c,0.68
94,left,c,0.719
95,right,c,0.622
96,left,c,0.727
97,right,c,0.592
98,left,c,0.624
99,right,c,0.592
100,left,c,0.623
101,right,c,0.599
102,left,c,0.824
103,left,c,0.72
104,right,c,0.607
105,right,c,0.6
106,right,c,0.824
107,right,c,0.703
108,left,c,0.696
109,left,c,0.696
110,right,c,0.64
111,right,w,1.591
112,right,c,2.876
113,right,c,0.711
114,left,c,0.727
115,right,c,0.655
116,right,c,0.855
117,right,c,0.815
118,right,c,0.806
119,left,c,1.049
120,right,c,0.943
121,left,c,2.511
122,right,c,0.63
123,right,c,1.175
124,left,c,0.687
125,left,c,0.695
126,right,c,0.696
127,right,c,0.703
128,right,c,1.152
129,right,c,1.007
130,right,c,1.737
131,right,c,0.631
132,left,c,0.625
133,left,c,0.797
134,right,c,0.855
135,left,c,0.801
136,left,c,0.639
137,left,c,0.704
138,right,c,0.607
139,right,c,0.79
140,left,c,0.623
141,right,c,0.623
142,left,c,0.759
143,left,c,0.687
