Tester: June
Test Date: 2016-04-12 12:26
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,0.686
2,right,c,0.627
3,right,c,0.831
4,right,c,0.695
5,right,c,0.751
6,right,c,0.952
7,right,c,0.814
8,left,c,0.639
9,right,c,0.72
10,right,c,0.758
11,right,c,0.831
12,left,c,0.623
13,left,c,1.087
14,left,c,0.711
15,right,c,0.737
16,right,c,0.711
17,right,c,0.695
18,left,c,0.726
19,left,c,0.727
20,right,c,0.67
21,right,c,0.703
22,right,c,0.687
23,left,c,0.688
24,left,c,0.551
25,right,c,0.919
26,right,c,0.815
27,right,c,0.736
28,left,c,0.664
29,right,c,0.654
30,left,c,0.575
31,left,c,0.592
32,left,c,0.751
33,right,c,0.607
34,right,c,0.774
35,right,c,0.68
36,left,c,0.576
37,left,c,0.593
38,right,c,0.672
39,right,w,0.919
40,right,c,1.239
41,right,c,0.712
42,right,c,0.687
43,left,c,0.647
44,left,c,0.649
45,right,c,0.599
46,left,c,0.623
47,left,c,0.633
48,right,c,0.711
49,right,c,0.863
50,right,c,0.655
51,left,c,0.679
52,right,c,0.647
53,right,c,0.631
54,right,c,0.615
55,left,c,0.606
56,right,c,0.609
57,left,c,0.709
58,right,c,0.526
59,left,c,0.569
60,right,c,0.783
61,left,c,0.639
62,left,c,0.943
63,left,c,0.64
64,right,c,0.711
65,left,c,0.703
66,right,c,0.784
67,right,c,0.687
68,left,c,0.711
69,right,c,0.623
70,left,c,0.527
71,left,c,0.551
72,left,c,0.679
73,right,c,0.623
74,left,c,0.584
75,right,c,0.695
76,left,w,0.815
77,right,c,1.004
78,right,c,0.671
79,right,c,0.671
80,right,c,0.695
81,right,c,0.656
82,left,c,0.735
83,right,c,0.607
84,right,c,0.679
85,left,c,0.64
86,left,c,0.712
87,left,c,0.622
88,right,c,0.73
89,right,c,1.016
90,left,c,0.8
91,left,c,0.631
92,right,w,0.791
93,left,w,0.093
94,right,w,1.414
95,right,c,2.653
96,left,c,0.78
97,left,c,0.921
98,right,c,0.711
99,left,c,0.599
100,right,c,0.737
101,left,c,0.591
102,left,c,0.607
103,left,c,0.575
104,right,c,0.607
105,right,c,0.702
106,left,c,0.489
107,left,c,0.48
108,left,c,0.559
109,right,c,0.662
110,left,c,0.601
111,left,c,0.623
112,right,c,0.672
113,left,c,0.575
114,right,c,0.793
115,right,c,0.646
116,left,c,0.638
117,left,c,0.583
118,left,c,0.87
119,left,c,0.68
120,left,c,0.936
121,right,c,2.026
122,right,c,0.671
123,left,c,0.719
124,right,c,0.638
125,left,c,0.617
126,right,c,0.663
127,right,c,0.816
128,left,c,0.56
129,left,c,0.607
130,left,c,0.615
131,left,c,1.335
132,right,c,0.673
133,left,c,0.623
134,left,c,0.702
135,left,c,1.383
136,right,c,0.655
137,left,c,0.799
138,left,c,0.623
139,right,c,0.711
140,left,c,0.592
141,left,c,1.639
142,left,c,0.687
143,right,c,1.087
144,right,c,0.664
145,right,c,1.182
146,right,c,0.911
147,right,c,0.687
148,left,c,0.695
149,right,c,0.815
150,left,w,0.583
151,right,c,2.646
152,right,c,1.383
153,left,c,0.919
154,left,c,0.655
155,left,c,1.128
156,right,c,0.824
157,right,c,0.64
158,left,c,0.647
159,left,c,0.551
160,right,c,0.672
161,left,c,0.599
162,left,c,0.624
163,left,c,0.591
164,right,c,0.839
165,left,c,0.6
166,right,c,0.64
167,right,c,0.87
168,left,c,0.838
169,left,c,0.648
170,right,c,0.631
171,right,c,0.641
172,right,c,0.679
173,left,c,0.694
174,right,c,0.665
175,right,c,1.015
176,right,c,1.871
177,right,c,0.623
178,right,c,0.72
179,right,c,0.67
180,left,c,1.2
181,left,c,0.726
182,right,c,0.809
183,right,c,0.773
184,left,c,0.777
185,right,c,0.759
186,right,c,0.927
187,right,c,0.879
188,right,c,1.359
189,right,c,0.808
190,right,c,0.935
191,right,c,0.784
192,right,c,0.888
193,left,c,0.776
194,left,c,1.328
195,right,c,1.039
196,right,c,0.632
197,right,c,0.847
198,right,c,0.775
199,left,c,0.656
200,left,c,0.783
201,left,c,0.72
202,right,c,0.847
203,left,c,0.8
204,left,c,1.118
205,right,c,0.84
206,right,c,0.782
207,left,c,0.599
208,left,c,0.703
209,right,c,0.624
210,left,c,0.518
211,right,c,0.671
212,left,c,0.607
213,left,c,0.607
214,left,c,0.768
215,right,c,0.575
216,left,c,0.575
217,right,c,0.591
218,right,c,0.631
219,right,c,0.696
220,left,c,0.671
221,left,c,0.615
222,left,c,0.655
223,right,c,0.704
224,right,c,0.768
225,right,c,0.671
226,right,c,0.711
227,left,c,0.599
228,right,c,0.64
229,right,c,0.543
230,left,c,0.751
231,left,c,0.91
232,left,c,0.8
233,right,c,0.816
234,right,c,0.64
235,left,c,0.585
236,left,c,0.54
237,left,c,0.689
238,right,c,0.599
239,right,c,0.567
240,right,c,1.04
241,right,c,1.163
242,left,c,0.495
243,left,c,0.582
244,left,c,0.583
245,right,c,0.615
246,left,c,0.495
247,right,c,0.559
248,left,c,0.607
249,left,c,0.575
250,right,w,0.631
251,right,w,1.997
252,right,w,1.679
253,left,w,2.894
254,right,w,1.39
255,right,c,2.494
256,left,c,0.968
257,right,w,1.071
258,right,w,1.302
259,right,w,1.902
260,right,c,2.709
261,left,c,1.329
262,left,c,0.83
263,left,c,0.848
264,right,c,0.544
265,left,c,0.496
266,right,c,0.566
267,left,c,0.519
268,right,c,0.616
269,left,c,0.784
270,left,c,0.656
271,right,c,0.607
272,right,c,0.614
273,left,c,0.519
274,right,c,0.848
275,right,c,0.559
276,left,c,0.583
277,left,c,0.775
278,left,c,0.663
279,left,c,0.576
280,right,c,0.639
281,right,c,0.606
282,right,c,0.935
283,left,c,0.735
284,left,c,1.055
285,left,c,0.671
286,right,c,0.639
287,right,c,0.544
288,right,c,0.639
289,left,w,0.656
290,left,c,0.982
291,left,c,1.671
292,left,c,0.958
293,left,c,0.752
294,left,c,1.055
295,right,w,0.711
296,right,c,1.262
297,right,c,1.455
298,left,c,0.807
299,right,c,0.591
300,right,c,0.816
301,left,c,0.878
302,right,c,0.625
303,left,c,0.479
304,right,c,0.584
305,left,c,0.497
306,left,c,0.663
307,right,c,0.552
308,right,c,0.648
