Tester: Yc
Test Date: 2016-04-15 15:41
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,1.351
2,left,c,1.053
3,left,c,1.279
4,right,c,0.727
5,left,c,1.047
6,left,c,1
7,left,c,0.967
8,left,c,1.111
9,left,c,1.159
10,right,c,0.743
11,right,c,1.217
12,right,c,1.839
13,right,w,1.104
14,right,c,5.739
15,left,c,0.879
16,right,c,0.936
17,left,c,0.968
18,left,c,2.103
19,left,c,1.048
20,right,c,0.934
21,left,c,0.968
22,left,c,2.848
23,right,c,1.039
24,left,c,1.663
25,left,w,1.151
26,right,c,2.413
27,left,c,5.343
28,right,c,0.81
29,right,c,1.038
30,left,c,1.081
31,left,c,0.966
32,left,c,1.143
33,right,c,0.888
34,right,c,1.512
35,left,c,1.32
36,right,c,1.294
37,left,c,1.488
38,left,c,1.016
39,right,c,1.111
40,right,c,1.663
41,left,c,1.023
42,left,c,1.375
43,left,c,1.607
44,right,c,0.775
45,right,c,1.152
46,right,c,1.661
47,left,c,1.409
48,left,c,0.959
49,right,c,1.103
50,right,c,1.751
51,left,c,1.159
52,right,c,0.847
53,left,c,1.071
54,right,c,0.903
55,right,c,1.656
56,right,c,1.617
57,left,c,1.35
58,right,c,1.152
59,right,c,1.318
60,left,c,2.04
61,left,c,1.4
62,left,c,1.544
63,right,c,1.112
64,left,c,1.12
65,left,c,1.56
66,left,c,1.847
67,left,c,1.192
68,left,c,1.767
69,left,c,1.255
70,right,c,1.207
71,right,c,1.151
72,right,c,1.447
73,left,c,1.167
74,left,c,2.215
75,left,c,1.616
76,right,c,0.879
77,right,c,1.44
78,right,c,1.432
79,right,c,1.023
80,right,c,1.64
81,right,c,0.96
82,left,c,1.176
83,left,c,1.224
84,right,c,0.768
85,left,c,1.215
86,right,c,0.928
87,left,c,1.112
88,right,c,0.767
89,right,c,1.176
90,right,c,1.727
91,right,w,0.832
92,left,c,2.517
93,left,c,2.887
94,left,c,1.927
95,left,c,1.239
96,left,c,1.239
97,right,c,1.087
98,left,c,1.695
99,right,c,1.535
100,right,c,1.688
101,left,c,1.119
102,right,c,0.856
103,right,c,1
104,right,c,1.103
105,right,c,1.104
106,left,c,1.288
107,left,c,1.312
108,left,c,1.2
109,left,c,1.16
110,right,c,0.888
111,right,c,0.968
112,right,c,1.311
113,left,c,1.224
114,left,c,1.439
115,right,c,0.839
116,right,c,1.471
117,right,c,0.871
118,right,c,1.407
119,right,c,0.912
120,left,c,1.335
121,right,c,1.685
122,right,c,3.92
123,left,c,2.264
124,left,c,0.96
125,right,c,0.912
126,left,c,0.952
127,right,c,1.304
128,right,c,1.297
129,left,c,1.102
130,left,c,1.351
131,left,c,1.703
132,left,c,1.224
133,left,c,1.23
134,right,c,1.023
135,right,c,1.511
136,left,c,2.247
137,right,c,0.967
138,left,c,1.096
139,left,c,1.607
140,left,c,1.367
141,right,c,0.896
142,left,c,1.184
143,left,c,1.927
144,left,c,1.08
145,left,c,0.991
146,right,c,1.072
147,right,c,1.28
148,right,c,1.376
149,right,c,1.32
150,right,c,1.56
151,right,c,1.536
152,right,c,1.183
153,right,c,2.768
154,left,c,1.313
155,left,c,1.437
156,left,c,1.367
157,right,c,1.143
158,right,c,1.127
159,right,c,1.351
160,right,c,1.103
161,right,c,1.959
162,left,c,2.864
163,left,c,2.999
164,right,c,1
165,right,c,1.264
166,left,c,1.144
167,left,c,1.52
168,right,c,1.095
169,right,c,1.895
170,right,c,0.84
171,right,c,1.288
172,right,c,0.816
173,left,c,1.328
174,left,c,1.079
175,right,c,0.879
176,right,c,0.775
177,left,c,1.015
178,left,c,1.256
179,left,c,1.343
180,left,c,1.288
181,left,c,0.919
182,right,c,0.999
183,right,c,1.255
184,right,c,0.847
185,left,c,1.191
186,right,c,0.848
187,left,c,1.686
188,left,c,1.328
189,left,c,1.079
190,right,c,0.952
191,right,c,1.431
192,left,c,1.04
193,right,c,0.944
194,right,c,1.088
195,left,c,0.888
196,right,c,1.367
197,right,c,1.08
198,right,c,0.928
199,left,c,1.48
200,right,c,1.432
201,left,c,1.111
202,right,c,0.816
203,right,c,1.304
204,right,c,1.048
205,left,c,1.216
206,left,c,1.128
207,right,c,1.398
208,right,c,0.951
209,left,c,0.927
210,left,c,1.111
211,left,c,1.424
212,left,c,1.207
213,left,c,1.967
214,right,c,0.904
215,right,c,1.287
216,left,c,0.984
217,right,c,1.072
218,left,c,1.8
219,right,c,1.192
220,right,c,1.12
221,right,c,1.552
222,right,c,2.248
223,left,c,1.721
224,right,c,0.886
225,left,c,1.271
226,left,c,1.104
227,right,c,1.007
228,right,c,1.04
229,right,c,1.247
230,left,c,1.215
231,right,c,0.951
232,left,c,1.543
233,right,c,1.279
234,right,c,1.247
235,right,c,1.432
236,left,c,0.983
237,right,w,1.063
238,right,c,2.334
239,right,c,1.856
240,left,c,1.536
241,right,c,3.622
242,right,c,1.36
243,right,c,0.84
