Tester: Ash
Test Date: 2016-05-04 11:15
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,1.883
2,left,c,1.051
3,right,c,1.062
4,right,c,0.751
5,right,c,0.76
6,right,c,0.711
7,right,c,0.744
8,right,c,0.798
9,left,c,0.815
10,left,c,0.887
11,left,c,2.12
12,left,c,0.638
13,left,c,0.751
14,right,c,0.727
15,right,c,0.64
16,right,c,0.68
17,left,c,0.607
18,left,c,0.679
19,right,c,0.656
20,left,c,0.598
21,left,c,0.76
22,left,c,0.656
23,right,c,0.887
24,left,c,0.936
25,left,c,0.768
26,left,c,0.671
27,right,c,0.726
28,right,c,0.712
29,left,c,0.744
30,right,c,0.647
31,left,c,0.663
32,left,c,0.703
33,right,c,2.185
34,left,c,1.445
35,right,c,1.321
36,left,c,1.207
37,left,c,1.135
38,right,c,0.992
39,left,c,0.974
40,left,c,0.574
41,right,c,0.582
42,right,c,0.632
43,left,c,0.719
44,right,c,0.631
45,left,c,0.815
46,left,c,1.015
47,left,c,0.808
48,right,c,1.088
49,right,c,0.687
50,right,c,0.751
51,left,c,0.759
52,left,c,0.672
53,right,c,0.671
54,left,c,0.88
55,right,c,0.711
56,right,c,0.719
57,right,c,0.63
58,left,c,0.678
59,left,c,0.607
60,left,c,0.647
61,left,c,0.672
62,right,c,0.703
63,left,c,0.56
64,right,c,0.623
65,right,c,0.639
66,left,c,0.679
67,right,c,0.648
68,right,c,0.703
69,right,c,0.631
70,left,c,0.687
71,right,c,0.679
72,right,c,0.655
73,left,c,0.512
74,left,c,0.695
75,right,c,0.574
76,left,c,0.594
77,right,c,0.59
78,right,c,0.696
79,left,c,0.631
80,right,c,0.559
81,right,c,0.679
82,left,c,0.767
83,left,c,1.303
84,left,c,0.799
85,right,c,0.719
86,right,c,0.935
87,right,c,0.703
88,left,c,0.567
89,right,c,0.592
90,right,c,1.231
91,left,c,0.631
92,left,c,0.703
93,left,c,0.647
94,right,c,0.599
95,right,c,0.639
96,right,c,0.64
97,right,c,0.687
98,right,c,0.744
99,right,c,0.824
100,left,c,0.6
101,right,c,0.76
102,left,c,0.792
103,right,c,0.792
104,left,c,0.701
105,left,c,0.93
106,left,c,1.024
107,left,c,0.808
108,left,c,0.567
109,left,c,0.664
