Tester: Ben
Test Date: 2016-05-06 12:14
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,0.798
2,right,c,0.772
3,left,c,0.656
4,right,c,0.559
5,left,c,0.678
6,right,c,0.593
7,left,c,0.544
8,right,c,0.687
9,left,c,0.542
10,right,c,0.686
11,left,c,0.576
12,left,c,0.799
13,right,c,0.583
14,right,c,0.759
15,left,c,0.503
16,left,c,0.615
17,left,c,0.936
18,left,c,0.903
19,left,c,0.863
20,right,c,0.72
21,left,c,0.665
22,right,c,0.647
23,right,c,0.574
24,right,c,0.663
25,left,c,0.584
26,right,c,0.616
27,left,c,0.895
28,right,c,0.447
29,left,c,0.632
30,right,c,0.551
31,left,c,0.688
32,left,c,0.759
33,left,c,0.678
34,left,c,0.649
35,right,c,0.727
36,left,c,0.511
37,left,c,0.711
38,left,c,0.823
39,left,c,0.639
40,right,c,0.632
41,right,c,0.718
42,left,c,0.511
43,right,c,0.591
44,right,c,0.751
45,left,c,0.567
46,right,c,0.567
47,left,c,0.639
48,left,c,0.831
49,right,c,0.528
50,right,c,0.599
51,left,c,0.478
52,left,c,0.615
53,left,c,0.735
54,right,c,0.511
55,left,c,0.599
56,right,w,0.807
57,left,c,0.061
58,right,w,1.145
59,right,c,2.125
60,left,c,0.551
61,left,c,0.639
62,right,w,0.735
63,left,c,0.045
64,right,w,4.623
65,left,c,1.182
66,left,c,1.576
67,left,c,0.976
68,left,c,1.398
69,right,c,0.919
70,left,c,0.647
71,right,c,0.567
72,right,c,0.623
73,left,c,0.511
74,left,c,0.767
75,right,c,0.647
76,left,c,0.712
77,left,c,0.575
78,right,c,0.775
79,left,c,0.48
80,left,c,0.743
81,left,c,0.487
82,left,c,0.695
83,left,c,0.543
84,left,c,0.607
85,right,c,0.615
86,left,c,0.607
87,left,c,0.551
88,left,c,0.615
89,left,c,0.799
90,right,c,0.759
91,left,c,0.551
92,left,c,0.759
93,right,c,0.648
94,left,c,1.424
95,left,c,0.551
96,right,c,0.679
97,left,c,0.542
98,left,c,0.648
99,left,c,0.624
100,right,c,0.727
101,right,c,0.575
102,right,c,0.678
103,left,c,0.528
104,left,c,0.888
105,right,c,0.503
106,right,c,0.688
107,left,c,0.527
108,left,c,0.631
109,right,c,0.719
110,right,c,0.631
111,right,c,0.583
112,left,c,0.6
113,right,c,0.608
114,left,c,0.728
115,right,c,0.71
116,right,c,0.657
117,left,c,0.631
