Tester: Dragon
Test Date: 2016-07-22 20:30
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,c,2.186
2,right,c,0.773
3,left,w,0.84
4,right,w,1.805
5,right,c,1.501
6,left,c,1.359
7,left,c,0.957
8,left,c,1.039
9,right,c,0.975
10,left,c,0.982
11,right,c,0.855
12,right,c,1.032
13,right,c,1.335
14,left,c,0.855
15,right,c,0.791
16,left,c,0.79
17,left,w,1.8
18,right,c,1.157
19,right,c,2.935
20,left,c,1.103
21,left,c,0.999
22,right,c,0.806
23,left,c,0.81
24,left,c,0.823
25,right,c,1.279
26,left,c,0.758
27,left,c,0.992
28,left,c,1.127
29,left,c,0.808
30,right,c,0.767
31,left,c,0.863
32,left,c,0.823
33,right,c,1.079
34,left,c,0.751
35,right,c,0.911
36,left,c,0.687
37,right,c,1.096
38,right,c,0.934
39,left,c,1.119
40,left,c,0.855
41,left,c,1.047
42,right,c,0.647
43,left,c,0.879
44,right,c,0.783
45,left,c,1.071
46,left,c,0.863
47,right,c,1.007
48,right,c,1.207
49,left,c,0.806
50,left,c,1.279
51,right,c,0.72
52,left,c,0.705
53,right,c,0.781
54,left,c,0.832
55,right,c,0.799
56,right,c,0.833
57,right,c,1.315
58,left,c,0.728
59,right,c,0.863
60,left,c,0.642
61,right,c,0.604
62,left,c,1.095
63,left,c,0.823
64,right,c,0.759
65,left,c,0.702
66,left,c,1.143
67,left,c,0.847
68,left,c,0.959
69,right,c,1.071
70,left,c,0.775
71,right,c,1.126
72,right,c,0.856
73,right,c,1.871
74,right,c,0.863
75,left,c,0.775
76,right,c,0.832
77,left,c,0.751
78,right,c,0.647
79,left,c,0.695
80,left,c,0.774
81,right,c,0.753
82,left,c,0.607
83,left,c,0.663
84,left,c,0.767
85,left,c,0.655
86,left,c,0.655
87,right,c,1.185
88,right,c,1.191
89,left,c,0.991
90,left,c,0.831
91,left,c,0.744
92,left,c,0.703
93,right,c,0.863
94,left,c,0.719
95,left,c,0.744
96,right,c,0.758
97,left,c,0.6
98,left,c,0.664
99,right,c,0.759
100,left,c,0.751
101,right,c,0.872
102,right,c,0.864
103,right,c,0.935
104,right,c,1.071
105,right,c,1.089
106,left,c,1.095
107,right,c,0.855
108,left,c,0.767
109,right,c,0.775
110,left,c,0.687
111,right,c,0.655
112,right,w,0.832
113,left,c,1.276
114,left,c,1.199
115,left,c,0.727
116,left,c,0.567
117,left,c,0.709
118,right,c,0.783
119,right,c,0.702
120,left,c,0.712
121,left,w,1.916
122,left,c,1.605
123,right,w,0.791
124,right,c,1.037
125,left,c,0.624
126,right,c,0.816
127,left,c,0.846
128,left,c,0.792
129,right,c,0.623
130,left,c,0.584
131,left,c,0.71
132,right,c,0.777
133,left,c,0.741
134,right,c,0.807
135,left,c,0.839
136,right,c,0.904
137,right,c,0.71
138,right,c,1.151
139,left,c,0.792
140,right,c,0.983
141,right,c,0.935
142,right,c,1.013
143,right,c,0.737
144,right,c,0.863
145,left,c,0.719
146,left,c,0.896
147,right,c,0.687
148,right,c,0.895
149,left,c,0.671
150,right,c,0.799
151,right,c,0.726
152,left,c,0.783
153,right,c,0.818
154,right,c,0.743
155,right,c,0.871
156,right,c,0.863
157,left,c,0.904
158,left,c,0.72
159,right,c,0.92
160,left,c,0.991
161,left,c,0.807
162,left,c,0.696
163,left,c,0.672
164,right,c,0.703
165,left,c,0.64
166,left,c,0.735
167,right,c,0.68
168,right,c,0.711
169,right,c,0.878
170,left,c,0.663
171,right,c,0.519
172,left,c,0.831
173,right,c,0.679
174,right,c,0.607
175,left,c,0.775
176,right,c,0.846
177,left,c,0.608
178,left,c,1.047
179,left,c,0.688
180,right,c,0.759
181,left,c,1.567
182,right,c,0.615
183,right,c,0.67
184,right,c,0.799
185,left,c,0.927
186,right,c,1.159
187,left,c,0.823
188,right,c,0.798
189,left,c,0.911
190,right,c,0.742
191,right,c,1.082
192,right,c,1.032
193,left,c,0.664
194,right,c,1.047
195,right,c,0.904
196,left,c,0.879
197,right,c,0.591
198,right,c,0.6
199,right,c,0.825
200,left,c,0.719
201,left,c,1.152
202,right,c,1.08
203,right,c,1.208
204,left,c,0.8
205,right,c,0.911
