Tester: ssss
Test Date: 2017-02-16 19:20
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,2.037
2,right,c,0.829
3,left,c,0.695
4,right,c,0.784
5,left,c,0.767
6,right,c,0.727
7,left,c,0.688
8,left,c,1
9,right,c,0.927
10,right,c,0.855
11,left,c,0.687
12,right,c,0.789
13,right,c,0.776
14,left,c,0.799
15,right,c,0.718
16,right,c,0.656
17,right,c,0.689
18,right,c,0.662
19,right,c,0.712
20,left,c,0.749
21,right,c,0.719
22,left,c,0.983
23,left,c,0.902
24,left,c,0.88
25,right,c,1.111
26,left,c,0.84
27,right,c,0.799
28,right,c,0.831
29,right,c,0.726
30,left,c,0.537
31,right,c,0.527
32,left,c,0.293
33,right,w,0.127
34,left,w,0.102
35,right,c,0.072
36,left,w,0.116
37,right,w,0.069
38,right,c,0.182
39,right,c,0.503
40,right,w,0.083
41,right,w,0.084
42,right,w,0.078
43,right,c,0.083
44,right,c,0.082
45,right,c,0.085
46,right,c,0.083
47,right,c,0.083
48,right,w,0.083
49,right,c,0.087
50,right,c,0.074
51,right,c,0.084
52,right,c,0.083
53,right,w,0.081
54,right,c,0.083
55,right,w,0.083
56,right,w,0.083
57,right,c,0.077
58,right,c,0.085
59,right,c,0.083
60,right,c,0.084
61,right,c,0.082
62,right,c,0.084
63,right,c,0.083
64,right,w,0.083
65,right,w,0.081
66,right,c,0.082
67,right,w,0.086
68,right,w,0.091
69,right,c,0.075
70,right,c,0.08
71,right,w,0.084
72,right,w,0.085
73,right,w,0.076
74,right,w,0.085
75,right,w,0.08
76,right,w,0.083
77,right,w,0.08
78,right,w,0.083
79,right,w,0.085
80,right,w,0.091
81,right,c,0.072
82,right,w,0.085
83,right,w,0.085
84,right,c,0.078
85,right,c,0.083
86,right,c,0.084
87,right,c,0.083
88,right,c,0.082
89,right,c,0.083
90,right,c,0.083
91,right,w,0.084
92,right,c,0.088
93,right,w,0.075
94,right,c,0.088
95,right,w,0.08
96,right,w,0.082
97,right,w,0.081
98,right,c,0.082
99,right,c,0.084
100,right,c,0.084
101,right,c,0.083
102,right,c,0.084
103,right,w,0.083
104,right,w,0.086
105,right,c,0.078
106,right,c,0.081
107,right,c,0.085
108,right,w,0.083
109,right,c,0.08
110,right,c,0.096
111,right,w,0.073
112,right,c,0.089
113,right,c,0.076
114,right,c,0.084
115,right,c,0.083
116,right,w,0.084
117,right,c,0.081
118,right,c,0.084
119,right,w,0.082
120,right,c,0.082
121,left,w,0.757
122,left,c,1.006
123,left,c,0.68
124,left,c,0.702
125,left,c,0.585
126,left,c,0.694
127,right,w,0.518
128,right,w,0.499
129,right,c,0.088
130,right,c,0.075
131,right,w,0.084
132,right,c,0.083
133,right,w,0.083
134,right,w,0.08
135,right,c,0.085
136,right,c,0.081
137,right,w,0.085
138,right,w,0.08
139,right,w,0.082
140,right,c,0.088
141,right,c,0.08
142,right,w,0.081
143,right,w,0.083
144,right,w,0.084
145,right,w,0.08
146,right,c,0.083
147,right,w,0.086
148,right,w,0.091
149,right,c,0.081
150,right,w,0.076
151,right,c,0.086
152,right,w,0.081
153,right,w,0.08
154,right,c,0.081
155,right,w,0.083
156,right,c,0.095
157,right,w,0.068
