Tester: 幹
Test Date: 2017-02-16 19:24
Test Mode: sharp and round
Test Type: Single1
Test Round: 60
Test Result:
No.,Side,Answer,Response Time
1,left,c,0.415
2,left,w,0.499
3,left,c,0.07
4,left,c,0.084
5,left,w,0.081
6,left,c,0.091
7,left,c,0.076
8,left,w,0.081
9,left,w,0.079
10,left,c,0.082
11,left,c,0.085
12,left,c,0.083
13,left,c,0.082
14,left,c,0.085
15,left,c,0.082
16,left,c,0.083
17,left,w,0.083
18,left,c,0.082
19,left,c,0.086
20,left,w,0.078
21,left,c,0.087
22,left,w,0.076
23,left,c,0.085
24,left,w,0.082
25,left,c,0.081
26,left,c,0.084
27,left,w,0.084
28,left,w,0.083
29,left,w,0.082
30,left,w,0.09
31,left,c,0.074
32,left,w,0.085
33,left,c,0.08
34,left,w,0.086
35,left,w,0.08
36,left,c,0.082
37,left,c,0.086
38,left,c,0.082
39,left,c,0.083
40,left,w,0.084
41,left,w,0.086
42,left,w,0.077
43,left,w,0.082
44,left,c,0.083
45,left,w,0.084
46,left,c,0.08
47,left,w,0.083
48,left,w,0.08
49,left,c,0.086
50,left,c,0.082
51,left,w,0.083
52,left,c,0.088
53,left,c,0.078
54,left,w,0.085
55,left,c,0.083
56,left,w,0.081
57,left,c,0.082
58,left,w,0.084
59,left,w,0.093
60,left,w,0.072
61,left,c,0.083
62,left,c,0.08
63,left,c,0.083
64,left,c,0.083
65,left,w,0.082
66,left,c,0.082
67,left,c,0.083
68,left,w,0.083
69,left,c,0.08
70,left,w,0.085
71,left,c,0.092
72,left,w,0.075
73,left,w,0.087
74,left,w,0.076
75,left,w,0.087
76,left,w,0.078
77,left,w,0.082
78,left,w,0.081
79,left,c,0.082
80,left,w,0.084
81,left,w,0.093
82,left,w,0.068
83,left,w,0.085
84,left,c,0.081
85,left,w,0.084
86,left,w,0.086
87,left,c,0.078
88,left,c,0.082
89,left,c,0.084
90,left,w,0.083
91,left,w,0.08
92,left,c,0.089
93,left,w,0.078
94,left,c,0.091
95,left,w,0.074
96,left,c,0.088
97,left,c,0.076
98,left,c,0.085
99,left,c,0.084
100,left,w,0.082
101,left,c,0.08
102,left,c,0.082
103,left,w,0.085
104,left,c,0.092
105,left,w,0.072
106,left,w,0.082
107,left,w,0.084
108,left,w,0.082
109,left,c,0.084
110,left,w,0.084
111,left,w,0.082
112,left,w,0.081
113,left,c,0.082
114,left,w,0.085
115,left,w,0.092
116,left,w,0.075
117,left,w,0.077
118,left,c,0.085
119,left,w,0.083
120,left,c,0.085
121,left,w,0.058
122,left,w,0.488
123,left,w,0.082
124,left,c,0.082
125,left,c,0.083
126,left,w,0.085
127,left,c,0.092
128,left,c,0.071
129,left,w,0.082
130,left,c,0.085
131,left,w,0.081
132,left,c,0.086
133,left,w,0.078
134,left,c,0.084
135,left,w,0.081
136,left,c,0.082
137,left,c,0.08
138,left,w,0.084
139,left,w,0.084
140,left,c,0.082
141,left,w,0.082
142,left,w,0.089
143,left,c,0.075
144,left,c,0.083
145,left,c,0.082
146,left,c,0.083
147,left,w,0.084
148,left,w,0.081
149,left,w,0.082
150,left,c,0.095
151,left,c,0.075
152,left,c,0.08
153,left,c,0.084
154,left,w,0.083
155,left,c,0.079
156,left,w,0.084
157,left,c,0.082
158,left,c,0.083
159,left,c,0.083
160,left,w,0.082
161,left,c,0.083
162,left,c,0.081
163,left,w,0.085
164,left,w,0.086
165,left,c,0.08
166,left,c,0.08
167,left,w,0.085
168,left,w,0.081
169,left,w,0.084
170,left,w,0.08
171,left,w,0.088
172,left,w,0.088
173,left,w,0.072
174,left,c,0.082
175,left,w,0.084
176,left,w,0.086
177,left,w,0.081
178,left,w,0.079
179,left,w,0.083
180,left,c,0.079
181,left,w,0.084
182,left,c,0.08
183,left,c,0.085
184,left,c,0.083
185,left,w,0.083
186,left,w,0.087
187,left,c,0.076
188,left,c,0.085
189,left,c,0.083
190,left,c,0.083
191,left,w,0.083
192,left,w,0.095
193,left,w,0.067
194,left,c,0.088
195,left,w,0.079
196,left,w,0.089
197,left,c,0.074
198,left,w,0.084
199,left,w,0.087
200,left,w,0.078
201,left,w,0.084
202,left,w,0.082
203,left,c,0.081
204,left,c,0.085
205,left,c,0.084
206,left,w,0.083
207,left,c,0.088
208,left,c,0.075
209,left,w,0.083
210,left,w,0.085
211,left,c,0.081
212,left,w,0.082
213,left,w,0.081
214,left,c,0.085
215,left,w,0.083
216,left,c,0.09
217,left,c,0.072
218,left,c,0.084
219,left,w,0.084
220,left,w,0.085
221,left,w,0.078
222,left,w,0.084
223,left,c,0.081
224,left,w,0.083
225,left,w,0.082
226,left,w,0.085
227,left,w,0.092
228,left,w,0.069
229,left,c,0.084
230,left,c,0.085
231,left,w,0.083
232,left,c,0.086
233,left,w,0.076
234,left,c,0.086
235,left,c,0.081
236,left,w,0.083
237,left,w,0.079
238,left,w,0.084
239,left,c,0.094
240,left,w,0.074
