Tester: ggg
Test Date: 2017-02-16 20:46
Test Mode: sharp and round
Test Type: Alternately
Test Round: 60
Test Result:
No.,Side,Answer,Response Time
1,right,c,0.832
2,right,c,0.496
3,right,c,0.085
4,right,w,0.083
5,right,w,0.076
6,right,w,0.082
7,right,w,0.078
8,right,c,0.085
9,right,w,0.084
10,right,c,0.084
11,right,w,0.078
12,right,c,0.08
13,right,w,0.084
14,right,w,0.081
15,right,w,0.082
16,right,c,0.082
17,right,w,0.084
18,right,c,0.086
19,right,w,0.075
20,right,w,0.088
21,right,c,0.078
22,right,c,0.083
23,right,c,0.083
24,right,w,0.083
25,right,c,0.081
26,right,c,0.083
27,right,c,0.085
28,right,w,0.083
29,right,c,0.079
30,right,w,0.086
31,right,w,0.079
32,right,c,0.081
33,right,w,0.084
34,right,w,0.081
35,right,w,0.083
36,right,c,0.084
37,right,w,0.081
38,right,c,0.079
39,right,c,0.083
40,right,c,0.083
41,right,c,0.085
42,right,c,0.083
43,right,w,0.082
44,right,c,0.082
45,right,w,0.08
46,right,w,0.083
47,right,w,0.082
48,right,c,0.087
49,right,c,0.083
50,right,c,0.078
51,right,w,0.083
52,right,w,0.088
53,right,c,0.074
54,right,c,0.086
55,right,c,0.083
56,right,w,0.083
57,right,c,0.08
58,right,w,0.083
59,right,c,0.085
60,right,w,0.082
61,right,c,0.081
62,right,w,0.084
63,right,c,0.087
64,right,c,0.075
65,right,w,0.085
66,right,c,0.081
67,right,w,0.081
68,right,w,0.083
69,right,w,0.08
70,right,c,0.089
71,right,c,0.079
72,right,w,0.083
73,right,c,0.079
74,right,w,0.086
75,right,c,0.085
76,right,w,0.079
77,right,w,0.08
78,right,c,0.082
79,right,w,0.082
80,right,w,0.081
81,right,w,0.085
82,right,w,0.08
83,right,c,0.085
84,right,c,0.083
85,right,c,0.084
86,right,c,0.084
87,right,c,0.083
88,right,c,0.082
89,right,w,0.083
90,right,c,0.086
91,right,w,0.078
92,right,w,0.08
93,right,c,0.084
94,right,w,0.083
95,right,w,0.079
96,right,c,0.084
97,right,c,0.084
98,right,w,0.083
99,right,w,0.08
100,right,c,0.083
101,right,c,0.083
102,right,c,0.084
103,right,c,0.083
104,right,c,0.083
105,right,c,0.082
106,right,c,0.083
107,right,w,0.085
108,right,c,0.082
109,right,c,0.084
110,right,w,0.083
111,right,w,0.083
112,right,w,0.081
113,right,c,0.082
114,right,w,0.082
115,right,w,0.06
116,right,w,0.081
117,right,c,0.086
118,right,w,0.079
119,right,c,0.082
120,right,w,0.083
121,right,c,1.027
122,right,w,0.499
123,right,w,0.081
124,right,c,0.079
125,right,c,0.08
126,right,w,0.084
127,right,c,0.085
128,right,w,0.081
129,right,w,0.079
130,right,c,0.083
131,right,c,0.084
132,right,w,0.083
133,right,c,0.084
134,right,w,0.082
135,right,c,0.081
136,right,w,0.084
137,right,c,0.083
138,right,c,0.083
139,right,w,0.083
140,right,c,0.087
141,right,c,0.076
142,right,c,0.085
143,right,c,0.082
144,right,c,0.083
145,right,c,0.084
146,right,w,0.083
147,right,w,0.083
148,right,w,0.084
149,right,w,0.078
150,right,c,0.085
151,right,w,0.083
152,right,w,0.08
153,right,w,0.084
154,right,w,0.08
155,right,c,0.082
156,right,c,0.082
157,right,w,0.085
158,right,c,0.082
159,right,w,0.082
160,right,w,0.082
161,right,w,0.083
162,right,c,0.08
163,right,c,0.084
164,right,c,0.085
165,right,w,0.082
166,right,w,0.083
167,right,w,0.081
168,right,c,0.085
169,right,w,0.082
170,right,c,0.083
171,right,c,0.082
172,right,w,0.083
173,right,w,0.079
174,right,w,0.086
175,right,w,0.083
176,right,w,0.079
177,right,w,0.082
178,right,w,0.086
179,right,w,0.079
180,right,w,0.08
181,right,w,0.083
182,right,w,0.083
183,right,c,0.088
184,right,c,0.075
185,right,c,0.086
186,right,w,0.084
187,right,c,0.082
188,right,w,0.082
189,right,c,0.081
190,right,c,0.084
191,right,c,0.082
192,right,w,0.084
193,right,w,0.079
194,right,c,0.085
195,right,c,0.083
196,right,c,0.083
197,right,w,0.084
198,right,w,0.08
199,right,w,0.084
200,right,w,0.084
201,right,c,0.083
202,right,w,0.081
203,right,c,0.08
204,right,c,0.085
205,right,c,0.083
206,right,w,0.084
207,right,w,0.082
208,right,w,0.077
209,right,w,0.082
210,right,c,0.086
211,right,c,0.081
212,right,w,0.083
213,right,c,0.08
214,right,c,0.085
215,right,w,0.084
216,right,w,0.08
217,right,w,0.086
218,right,w,0.081
219,right,c,0.081
220,right,w,0.085
221,right,c,0.083
222,right,w,0.08
223,right,c,0.083
224,right,w,0.085
225,right,c,0.079
226,right,w,0.086
227,right,c,0.085
228,right,w,0.08
229,right,w,0.081
230,right,w,0.082
231,right,w,0.078
232,right,w,0.09
233,right,c,0.088
234,right,w,0.071
235,right,w,0.081
236,right,c,0.085
237,right,c,0.083
238,right,c,0.083
239,right,w,0.083
240,right,w,0.082
